"Reason","MatchCount","CSV_DealId","CSV_Title","CSV_Product","CSV_Quantity","CSV_Pipeline","CSV_Stage","CSV_Status","CSV_ACV","CSV_MRR","CSV_ARR","DerivedProductCategory","DerivedPlanCategory","DerivedAccountCount"
"Salesforceに複合キー一致なし","0","575","アルスホーム株式会社","Rendery Proプラン","2","Rendery 商談管理","導入意向の確認中","進行中","211200","17600","211200","Rendery","Pro","2"
"Salesforce候補が複数あり一意に照合不可","2","584","株式会社スタイルテック総合計画","Rendery Enterpriseプラン","5","Rendery CS Pipe","S2 初期定着","進行中","900000","75000","900000","Rendery","Enterprise","5"
"Salesforce候補が複数あり一意に照合不可","2","594","株式会社ABC店舗","","","Rendery 商談管理","休眠","進行中","0","0","0","Rendery","",""
"Salesforceに複合キー一致なし","0","603","若築建設株式会社","Rendery Proプラン","1","Rendery 商談管理","お打ち合わせセッティング完了","成立","105600","8800","105600","Rendery","Pro","1"
"Salesforceに複合キー一致なし","0","616","株式会社フジタ 建築本部 BIM推進統括部","Rendery Enterpriseプラン","120","Rendery CS Pipe","S3 活用拡張","進行中","20160000","1680000","20160000","Rendery","Enterprise","120"
"Salesforceに複合キー一致なし","0","618","株式会社ecoaハウス","Rendery Enterpriseプラン","60","Rendery CS Pipe","S1 導入直後","進行中","10800000","900000","10800000","Rendery","Enterprise","60"
"Salesforce候補が複数あり一意に照合不可","2","619","株式会社クラウドトップ","Rendery Proプラン","1","Rendery 商談管理","お打ち合わせセッティング完了","進行中","105600","8800","105600","Rendery","Pro","1"
"Salesforce候補が複数あり一意に照合不可","2","625","株式会社クラウドトップ","Rendery Proプラン","1","Rendery 商談管理","決済手続/稟議中","進行中","105600","8800","105600","Rendery","Pro","1"
"Salesforceに複合キー一致なし","0","633","株式会社テイクアンドギヴ・ニーズ","Rendery Proプラン","2","Rendery 商談管理","決済手続/稟議中","進行中","211200","17600","211200","Rendery","Pro","2"
"Salesforce候補が複数あり一意に照合不可","2","643","有限会社芝田工務店","","","Rendery 商談管理","お打ち合わせセッティング完了","進行中","0","0","0","Rendery","",""
"Salesforceに複合キー一致なし","0","645","株式会社野村工務店","Rendery Enterpriseプラン（代理販売）","10","Rendery 商談管理","決済手続/稟議中","成立","1440000","120000","1440000","Rendery","Enterprise","10"
