Id,Name,ContractName__c,Account__c,Account__r.Name,StartDate__c,EndDate__c,Status__c,Payment__c,Oppotunity__c,Oppotunity__r.Name,Oppotunity__r.ProductCategory__c,Oppotunity__r.PlanCategory__c,Oppotunity__r.AccountCount__c,SourceQuotation__c,SourceQuotation__r.Name,Plan__c,MRR__c,ARR__c,Description__c,CreationSource__c,AutoCreatedFromFreee__c
a04RB00000kUAP9YAO,CN-00000097,近鉄不動産(セキュリティオプション月額）,001RB00001VTrvcYAD,近鉄不動産株式会社,2026-04-01,,Activated,Invoice,,,,,,,,EN,100000,1200000,,,false
a04RB00000kUAPCYA4,CN-00000100,株式会社フジタ　BIM推進部,001RB00001VTrwFYAT,株式会社フジタ,2026-04-01,,Activated,Invoice,,,,,,,,EN,42000,504000,部署: BIM推進部 / 備考: 年払い,,false
a04RB00000kUAPDYA4,CN-00000101,株式会社フジタ　設計統括部,001RB00001VTrwFYAT,株式会社フジタ,2026-04-01,,Activated,Invoice,,,,,,,,EN,98000,1176000,部署: 設計統括部 / 備考: 年払い,,false
a04RB00000kUAPKYA4,CN-00000108,株式会社デザインアーク　東京本店　東京スペースソリューション第１営業所,001RB00001VTruAYAT,株式会社デザインアーク,2026-06-01,,Activated,Invoice,,,,,,,,EN,30000,360000,部署: 東京本店 東京スペースソリューション第1営業所,,false
a04RB00000kUAPLYA4,CN-00000109,NTTファシリティーズ株式会社,001RB00001VTrnrYAD,NTTファシリティーズ,2026-06-01,,Activated,Invoice,,,,,,,,EN,150000,1800000,備考: 10ヶ月一括払い,,false
a04RB00000kUAPMYA4,CN-00000110,合同会社小島屋,001RB00001VTruZYAT,小島屋,2026-06-01,,Activated,Invoice,,,,,,,,Pro,8000,96000,,,false
a04RB00000kUAPZYA4,CN-00000123,株式会社西武開発,001RB00001VTqaIYAT,株式会社西武開発,2024-12-01,,Activated,Invoice,,,,,,,,EN,93500,1122000,備考: 年払,,false
a04RB00000kUAPgYAO,CN-00000130,株式会社ヨコハマ地所,001RB00001VTqYlYAL,ヨコハマ地所株式会社,2025-02-01,,Activated,Invoice,,,,,,,,BA,11000,132000,,,false
a04RB00000lZ54zYAC,CN-00000191,野村不動産株式会社　商業事業本部,001RB00001VTCYEYA5,野村不動産株式会社,2026-07-01,2027-06-30,Activated,Invoice,a08RB00001Z16QFYAZ,野村不動産 Rendery エンプラ導入の取引,,,,a0ARB00000dKnxN2AS,QT-000005,EN,198000,2040000,,,false
a04RB00000nA94DYAS,CN-00000230,【着手金】AIシミュレーション開発・保守費⽤（2026年6⽉-2027年3⽉）,001RB00001VTqidYAD,株式会社LIXIL,2026-06-29,,Activated,Invoice,,,,,,,,,,,,Sales,false
