Id,Name,FreeeInvoiceId__c,BillingDate__c,InvoiceAmount__c,ImportStatus__c,ValidationMessage__c,ResolvedAccount__c,ResolvedContract__c,ResolvedContractPeriod__c,CreatedInvoice__c
a0FRB00000UtKRT2A3,MFIW-000063,56461107,2026-04-20,12100,反映済み,,001RB00001VTrGkYAL,a04RB00000kUAQAYA4,a0BRB00000ynn622AA,a00RB000024Ux4vYAC
a0FRB00000UtKRU2A3,MFIW-000064,56461109,2026-04-20,44000,反映済み,,001RB00001VTqxsYAD,a04RB00000kUAOfYAO,a0BRB00000ynb6a2AA,a00RB000024Ux4wYAC
a0FRB00000UtKRV2A3,MFIW-000065,56461111,2026-04-20,275000,反映済み,,001RB00001VTqxQYAT,a04RB00000kVL7SYAW,a0BRB00000ypw612AA,a00RB000024Ux4xYAC
a0FRB00000UtKRW2A3,MFIW-000066,56461113,2026-04-20,8800,反映済み,,001RB00001VTqy1YAD,a04RB00000kUAOgYAO,a0BRB00000ynb6b2AA,a00RB000024Ux4yYAC
a0FRB00000UtKRX2A3,MFIW-000067,56461115,2026-04-20,60500,反映済み,,001RB00001VTqatYAD,a04RB00000kUAQ9YAO,a0BRB00000ynn612AA,a00RB000024Ux4zYAC
a0FRB00000UtKRY2A3,MFIW-000068,56461117,2026-04-20,26400,反映済み,,001RB00001VTqW8YAL,a04RB00000kUAOpYAO,a0BRB00000ynb6k2AA,a00RB000024Ux50YAC
a0FRB00000UtKRZ2A3,MFIW-000069,56461119,2026-04-20,8800,反映済み,,001RB00001VTr0hYAD,a04RB00000kUAOhYAO,a0BRB00000ynb6c2AA,a00RB000024Ux51YAC
a0FRB00000UtKRa2AN,MFIW-000070,56461121,2026-04-20,60500,反映済み,,001RB00001VTrkYYAT,a04RB00000kUAQCYA4,a0BRB00000ynn642AA,a00RB000024Ux52YAC
a0FRB00000UtKRb2AN,MFIW-000071,56461123,2026-04-20,12100,反映済み,,001RB00001VTtIiYAL,a04RB00000kUAQBYA4,a0BRB00000ynn632AA,a00RB000024Ux53YAC
a0FRB00000UtKRc2AN,MFIW-000072,56461125,2026-04-20,17600,反映済み,,001RB00001VTrkRYAT,a04RB00000kUAOtYAO,a0BRB00000ynb6o2AA,a00RB000024Ux54YAC
a0FRB00000UtKRd2AN,MFIW-000073,56461126,2026-04-20,82500,反映済み,,001RB00001VTrI5YAL,a04RB00000kUAP0YAO,a0BRB00000ynb6v2AA,a00RB000024Ux55YAC
a0FRB00000UtKRe2AN,MFIW-000074,56527514,2026-04-20,12100,反映済み,,001RB00001VTtIfYAL,a04RB00000kUAQ0YAO,a0BRB00000ynn5s2AA,a00RB000024Ux56YAC
a0FRB00000UtKRf2AN,MFIW-000075,56527519,2026-04-20,12100,反映済み,,001RB00001VTqfsYAD,a04RB00000kUAPzYAO,,a00RB000024Ux57YAC
a0FRB00000UtKRg2AN,MFIW-000076,56527522,2026-04-20,12100,反映済み,,001RB00001VTtIeYAL,a04RB00000kVL7fYAG,a0BRB00000ypw6L2AQ,a00RB000024Ux58YAC
a0FRB00000UtKRh2AN,MFIW-000077,56527524,2026-04-20,12100,反映済み,,001RB00001VTtIdYAL,a04RB00000kUAPxYAO,a0BRB00000ynn5p2AA,a00RB000024Ux59YAC
a0FRB00000UtKRi2AN,MFIW-000078,56527525,2026-04-20,12100,反映済み,,001RB00001VTtIcYAL,a04RB00000kVL7ZYAW,a0BRB00000ypw6D2AQ,a00RB000024Ux5AYAS
a0FRB00000UtKRj2AN,MFIW-000079,56527526,2026-04-20,12100,反映済み,,001RB00001VTtIZYA1,a04RB00000kVL7QYAW,a0BRB00000ypw5y2AA,a00RB000024Ux5BYAS
a0FRB00000UtKRk2AN,MFIW-000080,56527527,2026-04-20,12100,反映済み,,001RB00001VTqaKYAT,a04RB00000kUAPnYAO,a0BRB00000ynn5f2AA,a00RB000024Ux5CYAS
a0FRB00000UtKT32AN,MFIW-000081,56826003,2026-04-22,660000,反映済み,,001RB00001VTCYEYA5,a04RB00000kVL7jYAG,a0BRB00000ypw6S2AQ,a00RB000024Ux5DYAS
a0FRB00000UtKT42AN,MFIW-000082,56841170,2026-04-22,950400,反映済み,,001RB00001VTqgBYAT,a04RB00000kVL7VYAW,a0BRB00000ypw672AA,a00RB000024Ux5EYAS
