Id,Name,ContractYearMonth__c,RelatedInvoice__c,RelatedInvoice__r.Name,RelatedInvoice__r.Account__c,RelatedInvoice__r.Account__r.Name,RelatedInvoice__r.ParentContract__c,RelatedInvoice__r.Freee_Invoice_Id__c,RelatedInvoice__r.Freee_Invoice_Number__c,RelatedInvoice__r.Freee_Sync_Status__c,RelatedInvoice__r.Freee_Sync_Message__c,RelatedInvoice__r.Retry_Count__c,RelatedInvoice__r.Freee_Invoice_Status__c,RelatedInvoice__r.PaymentStatus__c,RelatedInvoice__r.CancelStatus__c,RelatedInvoice__r.Billing_Date__c,RelatedInvoice__r.LastModifiedDate
a03RB00001NswpVYAR,株式会社香川不動産買取センター_2025/05,2025/05,a00RB000027fzNlYAI,INV-0000000154,001RB00001VTqaKYAT,株式会社香川不動産買取センター,a04RB00000kUAPnYAO,60861156,INV-0000001321,Failed,"{""status_code"":429,""meta"":{""limit"":30,""period"":60,""remaining"":0,""reset"":""2026-07-28T03:01:00+09:00""}}",,送付済み,決済待ち,通常,2026-06-20,2026-07-27T18:01:02.000+0000
a03RB00001NswpWYAR,株式会社香川不動産買取センター_2025/06,2025/06,a00RB000027fzNlYAI,INV-0000000154,001RB00001VTqaKYAT,株式会社香川不動産買取センター,a04RB00000kUAPnYAO,60861156,INV-0000001321,Failed,"{""status_code"":429,""meta"":{""limit"":30,""period"":60,""remaining"":0,""reset"":""2026-07-28T03:01:00+09:00""}}",,送付済み,決済待ち,通常,2026-06-20,2026-07-27T18:01:02.000+0000
a03RB00001NswpXYAR,株式会社香川不動産買取センター_2025/07,2025/07,a00RB000027fzNlYAI,INV-0000000154,001RB00001VTqaKYAT,株式会社香川不動産買取センター,a04RB00000kUAPnYAO,60861156,INV-0000001321,Failed,"{""status_code"":429,""meta"":{""limit"":30,""period"":60,""remaining"":0,""reset"":""2026-07-28T03:01:00+09:00""}}",,送付済み,決済待ち,通常,2026-06-20,2026-07-27T18:01:02.000+0000
a03RB00001NswpYYAR,株式会社香川不動産買取センター_2025/08,2025/08,a00RB000027fzNlYAI,INV-0000000154,001RB00001VTqaKYAT,株式会社香川不動産買取センター,a04RB00000kUAPnYAO,60861156,INV-0000001321,Failed,"{""status_code"":429,""meta"":{""limit"":30,""period"":60,""remaining"":0,""reset"":""2026-07-28T03:01:00+09:00""}}",,送付済み,決済待ち,通常,2026-06-20,2026-07-27T18:01:02.000+0000
a03RB00001NswpZYAR,株式会社香川不動産買取センター_2025/09,2025/09,a00RB000027fzNlYAI,INV-0000000154,001RB00001VTqaKYAT,株式会社香川不動産買取センター,a04RB00000kUAPnYAO,60861156,INV-0000001321,Failed,"{""status_code"":429,""meta"":{""limit"":30,""period"":60,""remaining"":0,""reset"":""2026-07-28T03:01:00+09:00""}}",,送付済み,決済待ち,通常,2026-06-20,2026-07-27T18:01:02.000+0000
a03RB00001NswpaYAB,株式会社香川不動産買取センター_2025/10,2025/10,a00RB000027fzNlYAI,INV-0000000154,001RB00001VTqaKYAT,株式会社香川不動産買取センター,a04RB00000kUAPnYAO,60861156,INV-0000001321,Failed,"{""status_code"":429,""meta"":{""limit"":30,""period"":60,""remaining"":0,""reset"":""2026-07-28T03:01:00+09:00""}}",,送付済み,決済待ち,通常,2026-06-20,2026-07-27T18:01:02.000+0000
a03RB00001NswpbYAB,株式会社香川不動産買取センター_2025/11,2025/11,a00RB000027fzNlYAI,INV-0000000154,001RB00001VTqaKYAT,株式会社香川不動産買取センター,a04RB00000kUAPnYAO,60861156,INV-0000001321,Failed,"{""status_code"":429,""meta"":{""limit"":30,""period"":60,""remaining"":0,""reset"":""2026-07-28T03:01:00+09:00""}}",,送付済み,決済待ち,通常,2026-06-20,2026-07-27T18:01:02.000+0000
a03RB00001NswpcYAB,株式会社香川不動産買取センター_2025/12,2025/12,a00RB000027fzNlYAI,INV-0000000154,001RB00001VTqaKYAT,株式会社香川不動産買取センター,a04RB00000kUAPnYAO,60861156,INV-0000001321,Failed,"{""status_code"":429,""meta"":{""limit"":30,""period"":60,""remaining"":0,""reset"":""2026-07-28T03:01:00+09:00""}}",,送付済み,決済待ち,通常,2026-06-20,2026-07-27T18:01:02.000+0000
a03RB00001NswpdYAB,株式会社香川不動産買取センター_2026/01,2026/01,a00RB000027fzNlYAI,INV-0000000154,001RB00001VTqaKYAT,株式会社香川不動産買取センター,a04RB00000kUAPnYAO,60861156,INV-0000001321,Failed,"{""status_code"":429,""meta"":{""limit"":30,""period"":60,""remaining"":0,""reset"":""2026-07-28T03:01:00+09:00""}}",,送付済み,決済待ち,通常,2026-06-20,2026-07-27T18:01:02.000+0000
a03RB00001NswpeYAB,株式会社香川不動産買取センター_2026/02,2026/02,a00RB000027fzNlYAI,INV-0000000154,001RB00001VTqaKYAT,株式会社香川不動産買取センター,a04RB00000kUAPnYAO,60861156,INV-0000001321,Failed,"{""status_code"":429,""meta"":{""limit"":30,""period"":60,""remaining"":0,""reset"":""2026-07-28T03:01:00+09:00""}}",,送付済み,決済待ち,通常,2026-06-20,2026-07-27T18:01:02.000+0000
a03RB00001NswpfYAB,株式会社香川不動産買取センター_2026/03,2026/03,a00RB000027fzNlYAI,INV-0000000154,001RB00001VTqaKYAT,株式会社香川不動産買取センター,a04RB00000kUAPnYAO,60861156,INV-0000001321,Failed,"{""status_code"":429,""meta"":{""limit"":30,""period"":60,""remaining"":0,""reset"":""2026-07-28T03:01:00+09:00""}}",,送付済み,決済待ち,通常,2026-06-20,2026-07-27T18:01:02.000+0000
a03RB00001NswpgYAB,株式会社香川不動産買取センター_2026/04,2026/04,a00RB000027fzNlYAI,INV-0000000154,001RB00001VTqaKYAT,株式会社香川不動産買取センター,a04RB00000kUAPnYAO,60861156,INV-0000001321,Failed,"{""status_code"":429,""meta"":{""limit"":30,""period"":60,""remaining"":0,""reset"":""2026-07-28T03:01:00+09:00""}}",,送付済み,決済待ち,通常,2026-06-20,2026-07-27T18:01:02.000+0000
a03RB00001NswphYAB,株式会社香川不動産買取センター_2026/05,2026/05,a00RB000027fzNlYAI,INV-0000000154,001RB00001VTqaKYAT,株式会社香川不動産買取センター,a04RB00000kUAPnYAO,60861156,INV-0000001321,Failed,"{""status_code"":429,""meta"":{""limit"":30,""period"":60,""remaining"":0,""reset"":""2026-07-28T03:01:00+09:00""}}",,送付済み,決済待ち,通常,2026-06-20,2026-07-27T18:01:02.000+0000
a03RB00001RIREsYAP,株式会社香川不動産買取センター_2026/06,2026/06,a00RB000027fzNlYAI,INV-0000000154,001RB00001VTqaKYAT,株式会社香川不動産買取センター,a04RB00000kUAPnYAO,60861156,INV-0000001321,Failed,"{""status_code"":429,""meta"":{""limit"":30,""period"":60,""remaining"":0,""reset"":""2026-07-28T03:01:00+09:00""}}",,送付済み,決済待ち,通常,2026-06-20,2026-07-27T18:01:02.000+0000
a03RB00001Uj0s9YAB,a03RB00001Uj0s9,2026/06,a00RB000027fzNlYAI,INV-0000000154,001RB00001VTqaKYAT,株式会社香川不動産買取センター,a04RB00000kUAPnYAO,60861156,INV-0000001321,Failed,"{""status_code"":429,""meta"":{""limit"":30,""period"":60,""remaining"":0,""reset"":""2026-07-28T03:01:00+09:00""}}",,送付済み,決済待ち,通常,2026-06-20,2026-07-27T18:01:02.000+0000
a03RB00001RcABTYA3,株式会社香川不動産買取センター_2026/07,2026/07,a00RB000027fzNlYAI,INV-0000000154,001RB00001VTqaKYAT,株式会社香川不動産買取センター,a04RB00000kUAPnYAO,60861156,INV-0000001321,Failed,"{""status_code"":429,""meta"":{""limit"":30,""period"":60,""remaining"":0,""reset"":""2026-07-28T03:01:00+09:00""}}",,送付済み,決済待ち,通常,2026-06-20,2026-07-27T18:01:02.000+0000
a03RB00001NswkdYAB,株式会社エリオクリエイト_2026/06,2026/06,a00RB000027fzNvYAI,INV-0000000164,001RB00001VTrxYYAT,株式会社エリオクリエイト,a04RB00000kUAPNYA4,60946173,INV-0000001361,Failed,"{""status_code"":429,""meta"":{""limit"":30,""period"":60,""remaining"":0,""reset"":""2026-07-28T03:01:00+09:00""}}",,送付済み,決済待ち,通常,2026-06-20,2026-07-27T18:01:02.000+0000
a03RB00001RcACNYA3,株式会社エリオクリエイト_2026/07,2026/07,a00RB000027fzNvYAI,INV-0000000164,001RB00001VTrxYYAT,株式会社エリオクリエイト,a04RB00000kUAPNYA4,60946173,INV-0000001361,Failed,"{""status_code"":429,""meta"":{""limit"":30,""period"":60,""remaining"":0,""reset"":""2026-07-28T03:01:00+09:00""}}",,送付済み,決済待ち,通常,2026-06-20,2026-07-27T18:01:02.000+0000
