Id,Name,Account__c,ParentContract__c,ContractPeriod__c,TargetPeriodStartDate__c,TargetPeriodEndDate__c,Billing_Date__c,Freee_Invoice_Status__c,PaymentStatus__c,CancelStatus__c,Freee_Invoice_Id__c
a00RB000024Ux5DYAS,INV-0000000068,001RB00001VTCYEYA5,a04RB00000kVL7jYAG,a0BRB00000ypw6S2AQ,,,2026-04-22,送付済み,決済待ち,通常,56826003
a00RB000024Ux5EYAS,INV-0000000069,001RB00001VTqgBYAT,a04RB00000kVL7VYAW,a0BRB00000ypw672AA,,,2026-04-22,送付済み,決済待ち,通常,56841170
a00RB000024Ux5FYAS,INV-0000000070,001RB00001VTqgBYAT,a04RB00000kVL7VYAW,a0BRB00000ypw672AA,,,2026-04-22,送付済み,決済済み,通常,56841400
a00RB000024Ux5GYAS,INV-0000000071,001RB00001VTCYEYA5,a04RB00000kVL7jYAG,a0BRB00000ypw6S2AQ,,,2026-04-22,送付済み,決済済み,通常,56857997
a00RB000024Ux5HYAS,INV-0000000072,001RB00001VTqU8YAL,a04RB00000kUAPEYA4,a0BRB00000ynn552AA,,,2026-04-23,送付済み,決済済み,通常,56898984
a00RB000024Ux5IYAS,INV-0000000073,001RB00001VTqeXYAT,a04RB00000kUAP3YAO,a0BRB00000ynb6y2AA,,,2026-04-30,送付待ち,決済待ち,通常,57073276
a00RB000024Ux5JYAS,INV-0000000074,001RB00001VTrkUYAT,a04RB00000kVL7OYAW,a0BRB00000ypw5v2AA,,,2026-05-12,送付待ち,決済待ち,通常,58268807
a00RB000024Ux5KYAS,INV-0000000075,001RB00001VTruAYAT,a04RB00000kUAOAYA4,a0BRB00000ynb652AA,,,2026-05-13,送付待ち,決済待ち,通常,58388932
a00RB000024Ux5LYAS,INV-0000000076,001RB00001VTqlYYAT,a04RB00000kUANdYAO,a0BRB00000ynb5Y2AQ,,,2026-05-19,送付済み,決済待ち,通常,58689117
a00RB000024Ux5MYAS,INV-0000000077,001RB00001VTqlHYAT,a04RB00000kUANiYAO,a0BRB00000ynb5d2AA,,,2026-05-19,送付済み,決済済み,通常,58689637
a00RB000024Ux5NYAS,INV-0000000078,001RB00001VTqlZYAT,a04RB00000kVL7JYAW,a0BRB00000ypw5q2AA,,,2026-05-19,送付済み,決済待ち,通常,58692141
a00RB000024Ux5OYAS,INV-0000000079,001RB00001VTqUVYA1,a04RB00000kVL7iYAG,a0BRB00000ypw6Q2AQ,,,2026-05-20,送付済み,決済待ち,通常,58549424
a00RB000024Ux5PYAS,INV-0000000080,001RB00001VTqbXYAT,a04RB00000kUAOTYA4,a0BRB00000ynb6O2AQ,,,2026-05-20,送付済み,決済待ち,通常,58549433
a00RB000024Ux5QYAS,INV-0000000081,001RB00001VTrGkYAL,a04RB00000kUAQAYA4,a0BRB00000ynn622AA,,,2026-05-20,送付済み,決済待ち,通常,58549436
a00RB000024Ux5RYAS,INV-0000000082,001RB00001VTqxsYAD,a04RB00000kUAOfYAO,a0BRB00000ynb6a2AA,,,2026-05-20,送付済み,決済待ち,通常,58549439
a00RB000024Ux5SYAS,INV-0000000083,001RB00001VTqxQYAT,a04RB00000kVL7SYAW,a0BRB00000ypw622AA,,,2026-05-20,送付済み,決済待ち,通常,58549442
a00RB000024Ux5TYAS,INV-0000000084,001RB00001VTqy1YAD,a04RB00000kUAOgYAO,a0BRB00000ynb6b2AA,,,2026-05-20,送付済み,決済待ち,通常,58549444
a00RB000024Ux5UYAS,INV-0000000085,001RB00001VTqatYAD,a04RB00000kUAQ9YAO,a0BRB00000ynn612AA,,,2026-05-20,送付済み,決済待ち,通常,58549447
a00RB000024Ux5VYAS,INV-0000000086,001RB00001VTqW8YAL,a04RB00000kUAOpYAO,a0BRB00000ynb6k2AA,,,2026-05-20,送付済み,決済済み,通常,58549450
a00RB000024Ux5WYAS,INV-0000000087,001RB00001VTr0hYAD,a04RB00000kUAOhYAO,a0BRB00000ynb6c2AA,,,2026-05-20,送付済み,決済済み,通常,58549452
a00RB000024Ux5XYAS,INV-0000000088,001RB00001VTrkYYAT,a04RB00000kUAQCYA4,a0BRB00000ynn642AA,,,2026-05-20,送付済み,決済済み,通常,58549455
a00RB000024Ux5YYAS,INV-0000000089,001RB00001VTtIiYAL,a04RB00000kUAQBYA4,a0BRB00000ynn632AA,,,2026-05-20,送付済み,決済待ち,通常,58549457
a00RB000024Ux5ZYAS,INV-0000000090,001RB00001VTrkRYAT,a04RB00000kUAOtYAO,a0BRB00000ynb6o2AA,,,2026-05-20,送付済み,決済待ち,通常,58549460
a00RB000024Ux5aYAC,INV-0000000091,001RB00001VTrI5YAL,a04RB00000kUAP0YAO,a0BRB00000ynb6v2AA,,,2026-05-20,送付済み,決済待ち,通常,58549463
a00RB000024Ux5bYAC,INV-0000000092,001RB00001VTrlBYAT,a04RB00000kUAOyYAO,a0BRB00000ynb6t2AA,,,2026-05-20,送付済み,決済済み,通常,58549465
a00RB000024Ux5cYAC,INV-0000000093,001RB00001VTqgHYAT,a04RB00000kUAOzYAO,a0BRB00000ynb6u2AA,,,2026-05-20,送付済み,決済待ち,通常,58549467
a00RB000024Ux5dYAC,INV-0000000094,001RB00001VTqeXYAT,a04RB00000kUAP3YAO,a0BRB00000ynb6y2AA,,,2026-05-20,送付済み,決済待ち,通常,58549470
a00RB000024Ux5eYAC,INV-0000000095,001RB00001VTrkbYAD,a04RB00000kUAP5YAO,a0BRB00000ynb702AA,,,2026-05-20,送付済み,決済済み,通常,58549473
a00RB000024Ux5fYAC,INV-0000000096,001RB00001VTrlqYAD,a04RB00000kUAP6YAO,a0BRB00000ynb712AA,,,2026-05-20,送付済み,決済待ち,通常,58549475
a00RB000024Ux5gYAC,INV-0000000097,001RB00001VTqnvYAD,a04RB00000kUAP4YAO,a0BRB00000ynb6z2AA,,,2026-05-20,送付済み,決済済み,通常,58549477
a00RB000024Ux5hYAC,INV-0000000098,001RB00001VTrqeYAD,a04RB00000kUAPAYA4,a0BRB00000ynb752AA,,,2026-05-20,送付済み,決済待ち,通常,58549480
a00RB000024Ux5iYAC,INV-0000000099,001RB00001VTqgBYAT,a04RB00000kVL7VYAW,a0BRB00000ypw682AA,,,2026-05-22,送付済み,決済待ち,通常,58937326
a00RB000024Ux5jYAC,INV-0000000100,001RB00001VcyFKYAZ,a04RB00000kVL7KYAW,a0BRB00000ypw5r2AA,,,2026-05-22,送付待ち,決済待ち,通常,58940950
a00RB000024Ux5kYAC,INV-0000000101,001RB00001VTqsxYAD,a04RB00000kUAOnYAO,a0BRB00000ynb6i2AA,,,2026-05-22,送付待ち,決済待ち,通常,58947453
a00RB000024Vf1xYAC,INV-0000000102,001RB00001VTraTYAT,a04RB00000kUAOUYA4,a0BRB00000ynb6P2AQ,,,2026-05-25,送付済み,決済待ち,通常,59062064
a00RB000024Vf1yYAC,INV-0000000103,001RB00001VTrvcYAD,a04RB00000kVL7cYAG,a0BRB00000ypw6G2AQ,,,2026-05-27,送付待ち,決済待ち,通常,59295041
a00RB000024Vf1zYAC,INV-0000000104,001RB00001VTrxYYAT,a04RB00000kVL7UYAW,a0BRB00000ypw652AA,,,2026-05-31,送付済み,決済待ち,通常,60012375
a00RB000024Vf20YAC,INV-0000000105,001RB00001VTCZLYA5,a04RB00000kVL7PYAW,a0BRB00000ypw5w2AA,,,2026-05-31,送付済み,決済待ち,通常,60414862
