Id,Name,FreeeInvoiceId__c,BillingDate__c,InvoiceAmount__c,ResolvedAccount__c,ResolvedContract__c,ResolvedContractPeriod__c,CreatedInvoice__c,ImportStatus__c,ValidationMessage__c
a0FRB00000WhTPL2A3,MFIW-000179,60861169,2026-06-20,12100,001RB00001br9KgYAI,a04RB00000n5JdiYAE,a0BRB000012EChC2AW,,反映可能,
a0FRB00000WhTPM2A3,MFIW-000180,60861170,2026-06-20,48400,001RB00001br9KfYAI,a04RB00000n5JdjYAE,a0BRB000012EChD2AW,,反映可能,
a0FRB00000WhTPN2A3,MFIW-000181,60861171,2026-06-20,8800,001RB00001br9KNYAY,a04RB00000n5JdkYAE,a0BRB000012EChE2AW,,反映可能,
a0FRB00000WhTPT2A3,MFIW-000187,60861179,2026-06-20,8800,001RB00001br9KLYAY,a04RB00000n5JdlYAE,a0BRB000012EChF2AW,,反映可能,
a0FRB00000WhTPV2A3,MFIW-000189,60861181,2026-06-20,48400,001RB00001br9KMYAY,a04RB00000n5JdmYAE,a0BRB000012EChG2AW,,反映可能,
a0FRB00000WhTPZ2A3,MFIW-000193,60861185,2026-06-20,12100,001RB00001VTqZWYA1,a04RB00000kUAPjYAO,a0BRB00000ynn5b2AA,a00RB000027fzNZYAY,反映可能,
a0FRB00000WhTPa2AN,MFIW-000194,60861186,2026-06-20,12100,001RB00001VTqnbYAD,a04RB00000kUAQ2YAO,a0BRB00000ynn5u2AA,a00RB000027fzNaYAI,反映可能,
a0FRB00000WhTPb2AN,MFIW-000195,60861187,2026-06-20,12100,001RB00001VTqnHYAT,a04RB00000kUAQ3YAO,a0BRB00000ynn5v2AA,a00RB000027fzNbYAI,反映可能,
a0FRB00000WhTPc2AN,MFIW-000196,60861188,2026-06-20,8800,001RB00001br9KQYAY,a04RB00000n5JdnYAE,a0BRB000012EChH2AW,,反映可能,
a0FRB00000WhTPe2AN,MFIW-000198,60861191,2026-06-20,8800,001RB00001br9KOYAY,a04RB00000n5JdoYAE,a0BRB000012EChI2AW,,反映可能,
