Id,Name,FreeeInvoiceId__c,BillingDate__c,InvoiceAmount__c,ResolvedAccount__c,ResolvedContract__c,ResolvedContractPeriod__c,CreatedInvoice__c,CreatedInvoice__r.Name,ImportStatus__c,ValidationMessage__c
a0FRB00000UtKRZ2A3,MFIW-000069,56461119,2026-04-20,8800,001RB00001VTr0hYAD,a04RB00000kUAOhYAO,a0BRB00000ynb6c2AA,a00RB000024Ux51YAC,INV-0000000056,反映済み,
a0FRB00000UtKRa2AN,MFIW-000070,56461121,2026-04-20,60500,001RB00001VTrkYYAT,a04RB00000kUAQCYA4,a0BRB00000ynn642AA,a00RB000024Ux52YAC,INV-0000000057,反映済み,
a0FRB00000UtKRb2AN,MFIW-000071,56461123,2026-04-20,12100,001RB00001VTtIiYAL,a04RB00000kUAQBYA4,a0BRB00000ynn632AA,a00RB000024Ux53YAC,INV-0000000058,反映済み,
a0FRB00000UtKRc2AN,MFIW-000072,56461125,2026-04-20,17600,001RB00001VTrkRYAT,a04RB00000kUAOtYAO,a0BRB00000ynb6o2AA,a00RB000024Ux54YAC,INV-0000000059,反映済み,
a0FRB00000UtKRd2AN,MFIW-000073,56461126,2026-04-20,82500,001RB00001VTrI5YAL,a04RB00000kUAP0YAO,a0BRB00000ynb6v2AA,a00RB000024Ux55YAC,INV-0000000060,反映済み,
a0FRB00000UtKRe2AN,MFIW-000074,56527514,2026-04-20,12100,001RB00001VTtIfYAL,a04RB00000kUAQ0YAO,a0BRB00000ynn5s2AA,a00RB000024Ux56YAC,INV-0000000061,反映済み,
a0FRB00000UtKRf2AN,MFIW-000075,56527519,2026-04-20,12100,001RB00001VTqfsYAD,a04RB00000kUAPzYAO,,a00RB000024Ux57YAC,INV-0000000062,反映済み,
a0FRB00000UtKRg2AN,MFIW-000076,56527522,2026-04-20,12100,001RB00001VTtIeYAL,a04RB00000kVL7fYAG,a0BRB00000ypw6L2AQ,a00RB000024Ux58YAC,INV-0000000063,反映済み,
a0FRB00000UtKRh2AN,MFIW-000077,56527524,2026-04-20,12100,001RB00001VTtIdYAL,a04RB00000kUAPxYAO,a0BRB00000ynn5p2AA,a00RB000024Ux59YAC,INV-0000000064,反映済み,
a0FRB00000UtKRi2AN,MFIW-000078,56527525,2026-04-20,12100,001RB00001VTtIcYAL,a04RB00000kVL7ZYAW,a0BRB00000ypw6D2AQ,a00RB000024Ux5AYAS,INV-0000000065,反映済み,
a0FRB00000UtKRj2AN,MFIW-000079,56527526,2026-04-20,12100,001RB00001VTtIZYA1,a04RB00000kVL7QYAW,a0BRB00000ypw5y2AA,a00RB000024Ux5BYAS,INV-0000000066,反映済み,
a0FRB00000UtKRk2AN,MFIW-000080,56527527,2026-04-20,12100,001RB00001VTqaKYAT,a04RB00000kUAPnYAO,a0BRB00000ynn5f2AA,a00RB000024Ux5CYAS,INV-0000000067,反映済み,
a0FRB00000UtKT32AN,MFIW-000081,56826003,2026-04-22,660000,001RB00001VTCYEYA5,a04RB00000kVL7jYAG,a0BRB00000ypw6S2AQ,a00RB000024Ux5DYAS,INV-0000000068,反映済み,
a0FRB00000UtKT42AN,MFIW-000082,56841170,2026-04-22,950400,001RB00001VTqgBYAT,a04RB00000kVL7VYAW,a0BRB00000ypw672AA,a00RB000024Ux5EYAS,INV-0000000069,反映済み,
a0FRB00000UtKT52AN,MFIW-000083,56841400,2026-04-22,2217600,001RB00001VTqgBYAT,a04RB00000kVL7VYAW,a0BRB00000ypw672AA,a00RB000024Ux5FYAS,INV-0000000070,反映済み,
a0FRB00000UtKT62AN,MFIW-000084,56857997,2026-04-22,308000,001RB00001VTCYEYA5,a04RB00000kVL7jYAG,a0BRB00000ypw6S2AQ,a00RB000024Ux5GYAS,INV-0000000071,反映済み,
a0FRB00000UtKUf2AN,MFIW-000085,56898984,2026-04-23,8800,001RB00001VTqU8YAL,a04RB00000kUAPEYA4,a0BRB00000ynn552AA,a00RB000024Ux5HYAS,INV-0000000072,反映済み,
a0FRB00000UtKXt2AN,MFIW-000086,57073276,2026-04-30,8800,001RB00001VTqeXYAT,a04RB00000kUAP3YAO,a0BRB00000ynb6y2AA,a00RB000024Ux5IYAS,INV-0000000073,反映済み,
a0FRB00000UtKjB2AV,MFIW-000087,58268807,2026-05-12,0,001RB00001VTrkUYAT,a04RB00000kVL7OYAW,a0BRB00000ypw5v2AA,a00RB000024Ux5JYAS,INV-0000000074,要確認,同じfreee請求書IDのSalesforce請求は存在しますが、すべての請求明細を照合できませんでした。既存の請求明細と移行Workの明細を確認してください。
a0FRB00000UtKmP2AV,MFIW-000088,58388932,2026-05-13,181500,001RB00001VTruAYAT,a04RB00000kUAOAYA4,a0BRB00000ynb652AA,a00RB000024Ux5KYAS,INV-0000000075,反映済み,
a0FRB00000Usb9f2AB,MFIW-000089,58486126,2026-05-15,237600,001RB00001VTraTYAT,a04RB00000kUAOUYA4,a0BRB00000ynb6P2AQ,a00RB000024Ux4CYAS,INV-0000000005,反映済み,
a0FRB00000Usb9g2AB,MFIW-000090,58486360,2026-05-15,3168000,001RB00001VTraTYAT,a04RB00000kUAOUYA4,a0BRB00000ynb6P2AQ,a00RB000024Ux4DYAS,INV-0000000006,要確認,同じfreee請求書IDのSalesforce請求は存在しますが、すべての請求明細を照合できませんでした。既存の請求明細と移行Workの明細を確認してください。
a0FRB00000UtKrF2AV,MFIW-000091,58689117,2026-05-19,70400,001RB00001VTqlYYAT,a04RB00000kUANdYAO,a0BRB00000ynb5Y2AQ,a00RB000024Ux5LYAS,INV-0000000076,反映済み,
a0FRB00000UtKrG2AV,MFIW-000092,58689637,2026-05-19,532400,001RB00001VTqlHYAT,a04RB00000kUANiYAO,a0BRB00000ynb5d2AA,a00RB000024Ux5MYAS,INV-0000000077,反映済み,
a0FRB00000UtKrH2AV,MFIW-000093,58692141,2026-05-19,84700,001RB00001VTqlZYAT,a04RB00000kVL7JYAW,a0BRB00000ypw5q2AA,a00RB000024Ux5NYAS,INV-0000000078,反映済み,
a0FRB00000UtKsr2AF,MFIW-000094,58549424,2026-05-20,229900,001RB00001VTqUVYA1,a04RB00000kVL7iYAG,a0BRB00000ypw6Q2AQ,a00RB000024Ux5OYAS,INV-0000000079,反映済み,
a0FRB00000UtKss2AF,MFIW-000095,58549433,2026-05-20,145200,001RB00001VTqbXYAT,a04RB00000kUAOTYA4,a0BRB00000ynb6O2AQ,a00RB000024Ux5PYAS,INV-0000000080,反映済み,
a0FRB00000UtKst2AF,MFIW-000096,58549436,2026-05-20,12100,001RB00001VTrGkYAL,a04RB00000kUAQAYA4,a0BRB00000ynn622AA,a00RB000024Ux5QYAS,INV-0000000081,反映済み,
a0FRB00000UtKsu2AF,MFIW-000097,58549439,2026-05-20,44000,001RB00001VTqxsYAD,a04RB00000kUAOfYAO,a0BRB00000ynb6a2AA,a00RB000024Ux5RYAS,INV-0000000082,反映済み,
a0FRB00000UtKsv2AF,MFIW-000098,58549442,2026-05-20,275000,001RB00001VTqxQYAT,a04RB00000kVL7SYAW,a0BRB00000ypw622AA,a00RB000024Ux5SYAS,INV-0000000083,反映済み,
a0FRB00000UtKsw2AF,MFIW-000099,58549444,2026-05-20,8800,001RB00001VTqy1YAD,a04RB00000kUAOgYAO,a0BRB00000ynb6b2AA,a00RB000024Ux5TYAS,INV-0000000084,反映済み,
a0FRB00000UtKsx2AF,MFIW-000100,58549447,2026-05-20,60500,001RB00001VTqatYAD,a04RB00000kUAQ9YAO,a0BRB00000ynn612AA,a00RB000024Ux5UYAS,INV-0000000085,反映済み,
a0FRB00000UtKsy2AF,MFIW-000101,58549450,2026-05-20,26400,001RB00001VTqW8YAL,a04RB00000kUAOpYAO,a0BRB00000ynb6k2AA,a00RB000024Ux5VYAS,INV-0000000086,反映済み,
a0FRB00000UtKsz2AF,MFIW-000102,58549452,2026-05-20,8800,001RB00001VTr0hYAD,a04RB00000kUAOhYAO,a0BRB00000ynb6c2AA,a00RB000024Ux5WYAS,INV-0000000087,反映済み,
a0FRB00000UtKt02AF,MFIW-000103,58549455,2026-05-20,60500,001RB00001VTrkYYAT,a04RB00000kUAQCYA4,a0BRB00000ynn642AA,a00RB000024Ux5XYAS,INV-0000000088,反映済み,
a0FRB00000UtKt12AF,MFIW-000104,58549457,2026-05-20,12100,001RB00001VTtIiYAL,a04RB00000kUAQBYA4,a0BRB00000ynn632AA,a00RB000024Ux5YYAS,INV-0000000089,反映済み,
a0FRB00000UtKt22AF,MFIW-000105,58549460,2026-05-20,17600,001RB00001VTrkRYAT,a04RB00000kUAOtYAO,a0BRB00000ynb6o2AA,a00RB000024Ux5ZYAS,INV-0000000090,反映済み,
a0FRB00000UtKt32AF,MFIW-000106,58549463,2026-05-20,82500,001RB00001VTrI5YAL,a04RB00000kUAP0YAO,a0BRB00000ynb6v2AA,a00RB000024Ux5aYAC,INV-0000000091,反映済み,
a0FRB00000UtKt42AF,MFIW-000107,58549465,2026-05-20,17600,001RB00001VTrlBYAT,a04RB00000kUAOyYAO,a0BRB00000ynb6t2AA,a00RB000024Ux5bYAC,INV-0000000092,反映済み,
a0FRB00000UtKt52AF,MFIW-000108,58549467,2026-05-20,26400,001RB00001VTqgHYAT,a04RB00000kUAOzYAO,a0BRB00000ynb6u2AA,a00RB000024Ux5cYAC,INV-0000000093,反映済み,
a0FRB00000UtKt62AF,MFIW-000109,58549470,2026-05-20,8800,001RB00001VTqeXYAT,a04RB00000kUAP3YAO,a0BRB00000ynb6y2AA,a00RB000024Ux5dYAC,INV-0000000094,反映済み,
a0FRB00000UtKt72AF,MFIW-000110,58549473,2026-05-20,82500,001RB00001VTrkbYAD,a04RB00000kUAP5YAO,a0BRB00000ynb702AA,a00RB000024Ux5eYAC,INV-0000000095,反映済み,
a0FRB00000UtKt82AF,MFIW-000111,58549475,2026-05-20,82500,001RB00001VTrlqYAD,a04RB00000kUAP6YAO,a0BRB00000ynb712AA,a00RB000024Ux5fYAC,INV-0000000096,反映済み,
a0FRB00000UtKt92AF,MFIW-000112,58549477,2026-05-20,17600,001RB00001VTqnvYAD,a04RB00000kUAP4YAO,a0BRB00000ynb6z2AA,a00RB000024Ux5gYAC,INV-0000000097,反映済み,
a0FRB00000UtKtA2AV,MFIW-000113,58549480,2026-05-20,8800,001RB00001VTrqeYAD,a04RB00000kUAPAYA4,a0BRB00000ynb752AA,a00RB000024Ux5hYAC,INV-0000000098,反映済み,
a0FRB00000UtKuT2AV,MFIW-000114,58733986,2026-05-21,33000,001RB00001OSC9bYAH,,,,,要確認,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。"
a0FRB00000UtKw52AF,MFIW-000115,58937326,2026-05-22,825000,001RB00001VTqgBYAT,a04RB00000kVL7VYAW,a0BRB00000ypw682AA,a00RB000024Ux5iYAC,INV-0000000099,反映済み,
a0FRB00000UtKw62AF,MFIW-000116,58940950,2026-05-22,165000,001RB00001VcyFKYAZ,a04RB00000kVL7KYAW,a0BRB00000ypw5r2AA,a00RB000024Ux5jYAC,INV-0000000100,要確認,同じfreee請求書IDのSalesforce請求は存在しますが、すべての請求明細を照合できませんでした。既存の請求明細と移行Workの明細を確認してください。
a0FRB00000UtKw72AF,MFIW-000117,58947453,2026-05-22,924000,001RB00001VTqsxYAD,a04RB00000kUAOnYAO,a0BRB00000ynb6i2AA,a00RB000024Ux5kYAC,INV-0000000101,反映済み,
a0FRB00000UtKxh2AF,MFIW-000118,59062064,2026-05-25,154000,001RB00001VTraTYAT,a04RB00000kUAOUYA4,a0BRB00000ynb6P2AQ,a00RB000024Vf1xYAC,INV-0000000102,反映済み,
a0FRB00000UtL0v2AF,MFIW-000119,59295041,2026-05-27,324500,001RB00001VTrvcYAD,a04RB00000kVL7cYAG,a0BRB00000ypw6G2AQ,a00RB000024Vf1yYAC,INV-0000000103,反映済み,
a0FRB00000UtLdd2AF,MFIW-000120,60012375,2026-05-31,105600,001RB00001VTrxYYAT,a04RB00000kVL7UYAW,a0BRB00000ypw652AA,a00RB000024Vf1zYAC,INV-0000000104,反映済み,
a0FRB00000UtLde2AF,MFIW-000121,60414862,2026-05-31,6600000,001RB00001VTCZLYA5,a04RB00000kVL7PYAW,a0BRB00000ypw5w2AA,a00RB000024Vf20YAC,INV-0000000105,反映済み,
a0FRB00000Ut0EN2AZ,MFIW-000122,60417633,2026-06-09,176000,001RB00001VTrvcYAD,a04RB00000kVL7cYAG,a0BRB00000ypw6H2AQ,a00RB000024Ux4FYAS,INV-0000000008,反映済み,
