Id,Name,MasterContract__c,Month__c,PeriodStartDate__c,ProductMaster__c,Total__c,RevenueAmount__c,RelatedInvoice__c,CreatedDate
a03RB00001NswVvYAJ,東急建設 ○独特の請求書式あり_2027/03,a04RB00000kUANhYAO,2027/03,2027-03-01,,8000,,a00RB00002B5oL9YAJ,2026-06-21T16:13:55.000+0000
a03RB00001Nswi5YAB,日鉄興和不動産株式会社_2026/02,a04RB00000kUAOqYAO,2026/02,2026-02-01,,195000,,a00RB00002B5oLFYAZ,2026-06-21T16:13:56.000+0000
a03RB00001Nswi6YAB,日鉄興和不動産株式会社_2026/03,a04RB00000kUAOqYAO,2026/03,2026-03-01,,195000,,a00RB00002B5oLFYAZ,2026-06-21T16:13:56.000+0000
a03RB00001Nswi7YAB,日鉄興和不動産株式会社_2026/05,a04RB00000kUAOqYAO,2026/05,2026-05-01,,140000,,a00RB00002B5oLFYAZ,2026-06-21T16:13:56.000+0000
a03RB00001Nswi8YAB,日鉄興和不動産株式会社_2026/06,a04RB00000kUAOqYAO,2026/06,2026-06-01,,140000,,a00RB00002B5oLFYAZ,2026-06-21T16:13:56.000+0000
a03RB00001Nswi9YAB,日鉄興和不動産株式会社_2026/07,a04RB00000kUAOqYAO,2026/07,2026-07-01,,140000,,a00RB00002B5oLFYAZ,2026-06-21T16:13:56.000+0000
a03RB00001NswiAYAR,日鉄興和不動産株式会社_2026/08,a04RB00000kUAOqYAO,2026/08,2026-08-01,,140000,,a00RB00002B5oLFYAZ,2026-06-21T16:13:56.000+0000
a03RB00001NswiBYAR,日鉄興和不動産株式会社_2026/09,a04RB00000kUAOqYAO,2026/09,2026-09-01,,140000,,a00RB00002B5oLFYAZ,2026-06-21T16:13:56.000+0000
a03RB00001NswiCYAR,日鉄興和不動産株式会社_2026/10,a04RB00000kUAOqYAO,2026/10,2026-10-01,,140000,,a00RB00002B5oLFYAZ,2026-06-21T16:13:56.000+0000
a03RB00001NswiDYAR,日鉄興和不動産株式会社_2026/11,a04RB00000kUAOqYAO,2026/11,2026-11-01,,140000,,a00RB00002B5oLFYAZ,2026-06-21T16:13:56.000+0000
a03RB00001NswiEYAR,日鉄興和不動産株式会社_2026/12,a04RB00000kUAOqYAO,2026/12,2026-12-01,,140000,,a00RB00002B5oLFYAZ,2026-06-21T16:13:56.000+0000
a03RB00001NswiFYAR,日鉄興和不動産株式会社_2027/01,a04RB00000kUAOqYAO,2027/01,2027-01-01,,140000,,a00RB00002B5oLFYAZ,2026-06-21T16:13:56.000+0000
a03RB00001NswiGYAR,日鉄興和不動産株式会社_2027/02,a04RB00000kUAOqYAO,2027/02,2027-02-01,,140000,,a00RB00002B5oLFYAZ,2026-06-21T16:13:56.000+0000
a03RB00001NswiHYAR,日鉄興和不動産株式会社_2027/03,a04RB00000kUAOqYAO,2027/03,2027-03-01,,140000,,a00RB00002B5oLFYAZ,2026-06-21T16:13:56.000+0000
a03RB00001NswiIYAR,日鉄興和不動産株式会社_2027/04,a04RB00000kUAOqYAO,2027/04,2027-04-01,,140000,,a00RB00002B5oLFYAZ,2026-06-21T16:13:56.000+0000
