"RelatedInvoice__c","Id","Name","MasterContract__c","Month__c","PeriodStartDate__c","ProductMaster__c","ProductMaster__r.Name","Total__c","RevenueAmount__c","CreatedDate"
"a00RB00002B5oL9YAJ","a03RB00001NswVbYAJ","東急建設 ○独特の請求書式あり_2025/07","a04RB00000kUANhYAO","2025/07","2025-07-01","","","8000","","2026-06-21T16:13:55.000+0000"
"a00RB00002B5oL9YAJ","a03RB00001NswVcYAJ","東急建設 ○独特の請求書式あり_2025/08","a04RB00000kUANhYAO","2025/08","2025-08-01","","","72000","","2026-06-21T16:13:55.000+0000"
"a00RB00002B5oL9YAJ","a03RB00001NswVdYAJ","東急建設 ○独特の請求書式あり_2025/09","a04RB00000kUANhYAO","2025/09","2025-09-01","","","","","2026-06-21T16:13:55.000+0000"
"a00RB00002B5oL9YAJ","a03RB00001NswVeYAJ","東急建設 ○独特の請求書式あり_2025/10","a04RB00000kUANhYAO","2025/10","2025-10-01","","","","","2026-06-21T16:13:55.000+0000"
"a00RB00002B5oL9YAJ","a03RB00001NswVfYAJ","東急建設 ○独特の請求書式あり_2025/11","a04RB00000kUANhYAO","2025/11","2025-11-01","","","","","2026-06-21T16:13:55.000+0000"
"a00RB00002B5oL9YAJ","a03RB00001NswVgYAJ","東急建設 ○独特の請求書式あり_2025/12","a04RB00000kUANhYAO","2025/12","2025-12-01","","","","","2026-06-21T16:13:55.000+0000"
"a00RB00002B5oL9YAJ","a03RB00001NswVhYAJ","東急建設 ○独特の請求書式あり_2026/01","a04RB00000kUANhYAO","2026/01","2026-01-01","","","","","2026-06-21T16:13:55.000+0000"
"a00RB00002B5oL9YAJ","a03RB00001NswViYAJ","東急建設 ○独特の請求書式あり_2026/02","a04RB00000kUANhYAO","2026/02","2026-02-01","","","","","2026-06-21T16:13:55.000+0000"
"a00RB00002B5oL9YAJ","a03RB00001NswVjYAJ","東急建設 ○独特の請求書式あり_2026/03","a04RB00000kUANhYAO","2026/03","2026-03-01","","","","","2026-06-21T16:13:55.000+0000"
"a00RB00002B5oL9YAJ","a03RB00001NswVkYAJ","東急建設 ○独特の請求書式あり_2026/04","a04RB00000kUANhYAO","2026/04","2026-04-01","a0CRB0000CcXZ6Q2QW","Rendery Proプラン","8000","8000","2026-06-21T16:13:55.000+0000"
"a00RB00002B5oL9YAJ","a03RB00001NswVlYAJ","東急建設 ○独特の請求書式あり_2026/05","a04RB00000kUANhYAO","2026/05","2026-05-01","a0CRB0000CcXZ6Q2QW","Rendery Proプラン","8000","8000","2026-06-21T16:13:55.000+0000"
"a00RB00002B5oL9YAJ","a03RB00001NswVmYAJ","東急建設 ○独特の請求書式あり_2026/06","a04RB00000kUANhYAO","2026/06","2026-06-01","","","8000","","2026-06-21T16:13:55.000+0000"
"a00RB00002B5oL9YAJ","a03RB00001NswVnYAJ","東急建設 ○独特の請求書式あり_2026/07","a04RB00000kUANhYAO","2026/07","2026-07-01","","","8000","","2026-06-21T16:13:55.000+0000"
"a00RB00002B5oL9YAJ","a03RB00001NswVoYAJ","東急建設 ○独特の請求書式あり_2026/08","a04RB00000kUANhYAO","2026/08","2026-08-01","","","8000","","2026-06-21T16:13:55.000+0000"
"a00RB00002B5oL9YAJ","a03RB00001NswVpYAJ","東急建設 ○独特の請求書式あり_2026/09","a04RB00000kUANhYAO","2026/09","2026-09-01","","","8000","","2026-06-21T16:13:55.000+0000"
"a00RB00002B5oL9YAJ","a03RB00001NswVqYAJ","東急建設 ○独特の請求書式あり_2026/10","a04RB00000kUANhYAO","2026/10","2026-10-01","","","8000","","2026-06-21T16:13:55.000+0000"
"a00RB00002B5oL9YAJ","a03RB00001NswVrYAJ","東急建設 ○独特の請求書式あり_2026/11","a04RB00000kUANhYAO","2026/11","2026-11-01","","","8000","","2026-06-21T16:13:55.000+0000"
"a00RB00002B5oL9YAJ","a03RB00001NswVsYAJ","東急建設 ○独特の請求書式あり_2026/12","a04RB00000kUANhYAO","2026/12","2026-12-01","","","8000","","2026-06-21T16:13:55.000+0000"
"a00RB00002B5oL9YAJ","a03RB00001NswVtYAJ","東急建設 ○独特の請求書式あり_2027/01","a04RB00000kUANhYAO","2027/01","2027-01-01","","","8000","","2026-06-21T16:13:55.000+0000"
"a00RB00002B5oL9YAJ","a03RB00001NswVuYAJ","東急建設 ○独特の請求書式あり_2027/02","a04RB00000kUANhYAO","2027/02","2027-02-01","","","8000","","2026-06-21T16:13:55.000+0000"
"a00RB00002B5oL9YAJ","a03RB00001NswVvYAJ","東急建設 ○独特の請求書式あり_2027/03","a04RB00000kUANhYAO","2027/03","2027-03-01","","","8000","","2026-06-21T16:13:55.000+0000"
"a00RB00002B5oLFYAZ","a03RB00001Nswi5YAB","日鉄興和不動産株式会社_2026/02","a04RB00000kUAOqYAO","2026/02","2026-02-01","","","195000","","2026-06-21T16:13:56.000+0000"
"a00RB00002B5oLFYAZ","a03RB00001Nswi6YAB","日鉄興和不動産株式会社_2026/03","a04RB00000kUAOqYAO","2026/03","2026-03-01","","","195000","","2026-06-21T16:13:56.000+0000"
"a00RB00002B5oLFYAZ","a03RB00001Nswi7YAB","日鉄興和不動産株式会社_2026/05","a04RB00000kUAOqYAO","2026/05","2026-05-01","","","140000","","2026-06-21T16:13:56.000+0000"
"a00RB00002B5oLFYAZ","a03RB00001Nswi8YAB","日鉄興和不動産株式会社_2026/06","a04RB00000kUAOqYAO","2026/06","2026-06-01","","","140000","","2026-06-21T16:13:56.000+0000"
"a00RB00002B5oLFYAZ","a03RB00001Nswi9YAB","日鉄興和不動産株式会社_2026/07","a04RB00000kUAOqYAO","2026/07","2026-07-01","","","140000","","2026-06-21T16:13:56.000+0000"
"a00RB00002B5oLFYAZ","a03RB00001NswiAYAR","日鉄興和不動産株式会社_2026/08","a04RB00000kUAOqYAO","2026/08","2026-08-01","","","140000","","2026-06-21T16:13:56.000+0000"
"a00RB00002B5oLFYAZ","a03RB00001NswiBYAR","日鉄興和不動産株式会社_2026/09","a04RB00000kUAOqYAO","2026/09","2026-09-01","","","140000","","2026-06-21T16:13:56.000+0000"
"a00RB00002B5oLFYAZ","a03RB00001NswiCYAR","日鉄興和不動産株式会社_2026/10","a04RB00000kUAOqYAO","2026/10","2026-10-01","","","140000","","2026-06-21T16:13:56.000+0000"
"a00RB00002B5oLFYAZ","a03RB00001NswiDYAR","日鉄興和不動産株式会社_2026/11","a04RB00000kUAOqYAO","2026/11","2026-11-01","","","140000","","2026-06-21T16:13:56.000+0000"
