"sf__Id","sf__Created",Name,ACV__c,ContractUpdate__c,Account__c,Contact__c,Description__c,ExpectedCloseDate__c,LostDate__c,LostReason__c,MRR__c,NextActivityDate__c,NextStep__c,StageName__c,StandardCloseDate__c,StandardProbability__c,StartDate__c,StandardStartDate__c,ExpectedDuration__c
"a08RB00001Z16QqYAJ","true","大東建託株式会社 の取引","1584000.0","月","001RB00001VTruMYAT","","","","","","132000.0","","","Closed Won","2025-07-24","","","",""
"a08RB00001Z16QrYAJ","true","株式会社アルファ建築設計事務所 の取引","105600.0","月","001RB00001VTqnBYAT","","","","","","8800.0","","","Closed Won","2025-07-15","","","",""
"a08RB00001Z16QsYAJ","true","株式会社JR東日本建築設計 の取引","105600.0","月","001RB00001VTrHVYA1","","","","","","8800.0","","","Closed Won","2025-07-15","","","",""
"a08RB00001Z16QtYAJ","true","株式会社石勝エクステリア の取引","1780000.0","月","001RB00001VTqnMYAT","","","","","","140000.0","","","Closed Won","2025-10-02","","","",""
"a08RB00001Z16QuYAJ","true","株式会社アットオフィス の取引","660000.0","月","001RB00001VTqlgYAD","","","","","","55000.0","","","Closed Won","2025-10-17","","","",""
"a08RB00001Z16QvYAJ","true","株式会社マルク の取引","726000.0","月","001RB00001VTqlrYAD","","","","","","60500.0","","","Closed Won","2025-07-18","","","",""
"a08RB00001Z16QwYAJ","true","Atelier Ohtaki architecture の取引","66000.0","月","001RB00001VTqmGYAT","","","","","","5500.0","","","Closed Won","2025-07-18","","","",""
"a08RB00001Z16QxYAJ","true","JOA株式会社 の取引","660000.0","月","001RB00001VTqmBYAT","003RB00001NsWwPYAV","","","","","55000.0","","","Closed Won","2025-08-22","","","",""
"a08RB00001Z16QyYAJ","true","ホームトレードセンター株式会社 の取引","145200.0","月","001RB00001VTqnbYAD","","","","","","12100.0","","","Closed Won","2025-07-25","","","",""
"a08RB00001Z16QzYAJ","true","株式会社日立プラントサービス の取引","1320000.0","月","001RB00001VTqnJYAT","","","2026-06-01","2026-05-22","Needs mismatch","110000.0","2026-02-16","","Closed Lost","2026-05-22","","","",""
"a08RB00001Z16R0YAJ","true","エコワークス の取引","145200.0","月","001RB00001VTqjqYAD","003RB00001NsShHYAV","","","","","12100.0","","","Prospecting","","","","",""
"a08RB00001Z16R1YAJ","true","戸田建設株式会社 Upsell の取引","396000.0","月","001RB00001VTrmnYAD","","","","","","33000.0","","","Closed Won","2025-07-30","","","",""
"a08RB00001Z16R2YAJ","true","ノムラメディアス の取引","1056000.0","月","001RB00001VTCZGYA5","","","","","","88000.0","2025-11-19","","Prospecting","","","","",""
"a08RB00001Z16R3YAJ","true","プラス株式会社ファニチャーカンパニー の取引","924000.0","月","001RB00001VTCZPYA5","","","2026-03-01","","","77000.0","","","Closed Lost","","","","",""
