Id,Name,FreeeInvoiceId__c,InvoiceAmount__c,ImportStatus__c,CreatedInvoice__c
a0FRB00000YptEz2AJ,MFIW-000385,63077948,17600,反映可能,a00RB00002Am2BTYAZ
a0FRB00000YptF02AJ,MFIW-000386,63077950,82500,反映可能,a00RB00002B4i4EYAR
a0FRB00000YptF12AJ,MFIW-000387,63077953,17600,反映可能,a00RB00002Am2BUYAZ
a0FRB00000YptF22AJ,MFIW-000388,63077956,44000,反映可能,a00RB00002B5oLJYAZ
a0FRB00000YptF32AJ,MFIW-000389,63077959,8800,反映可能,a00RB00002Am2BVYAZ
a0FRB00000YptF42AJ,MFIW-000390,63077961,82500,反映可能,a00RB00002Am2BWYAZ
a0FRB00000YptF52AJ,MFIW-000391,63077963,82500,反映可能,a00RB00002Am2BXYAZ
a0FRB00000YptF62AJ,MFIW-000392,63077966,8800,反映可能,a00RB00002Am2BYYAZ
a0FRB00000YptF72AJ,MFIW-000393,63077968,17600,反映可能,a00RB00002Am2BZYAZ
a0FRB00000YptF82AJ,MFIW-000394,63077971,8800,反映可能,a00RB00002Am2BaYAJ
a0FRB00000Yq7Ej2AJ,MFIW-000395,63077973,44000,反映可能,a00RB00002Am2BbYAJ
a0FRB00000Yq7Ek2AJ,MFIW-000396,63077976,8800,反映可能,a00RB00002Am2BcYAJ
a0FRB00000Yq7El2AJ,MFIW-000397,63077979,8800,反映可能,a00RB00002Am2BdYAJ
a0FRB00000Yq7En2AJ,MFIW-000399,63077983,8800,反映可能,a00RB00002Am2BeYAJ
a0FRB00000Yq7Eo2AJ,MFIW-000400,63077986,8800,反映可能,a00RB00002Am2BfYAJ
a0FRB00000Yq7Ep2AJ,MFIW-000401,63077988,33000,反映可能,a00RB00002B4i4FYAR
a0FRB00000Yq7Eq2AJ,MFIW-000402,63077990,82500,反映可能,a00RB00002Am2BgYAJ
a0FRB00000Yq7Er2AJ,MFIW-000403,63077993,8800,反映可能,a00RB00002B4i4GYAR
a0FRB00000Yq7Es2AJ,MFIW-000404,63077995,52800,反映可能,a00RB00002B4i4HYAR
a0FRB00000YqK3w2AF,MFIW-000408,63124834,70400,反映可能,a00RB00002Am2BhYAJ
a0FRB00000YqK3x2AF,MFIW-000409,63125492,605000,反映可能,a00RB00002Am2BiYAJ
a0FRB00000YqK3y2AF,MFIW-000410,63125575,14080,反映可能,a00RB00002B5oLKYAZ
a0FRB00000YqK3z2AF,MFIW-000411,63125666,52800,反映可能,a00RB00002B4i4IYAR
a0FRB00000YqK402AF,MFIW-000412,63125722,17600,反映可能,a00RB00002B4i4JYAR
a0FRB00000YqK422AF,MFIW-000414,63127138,1584000,反映可能,a00RB00002B5oLLYAZ
a0FRB00000YqSO22AN,MFIW-000415,63128994,82500,反映可能,
a0FRB00000YqSO32AN,MFIW-000416,63150536,12100,反映可能,a00RB00002AyE6LYAV
a0FRB00000YqSO42AN,MFIW-000417,63150540,12100,反映可能,a00RB00002AyetjYAB
a0FRB00000YqSO52AN,MFIW-000418,63150541,12100,反映可能,a00RB00002AvrgmYAB
a0FRB00000YqSO62AN,MFIW-000419,63150542,12100,反映可能,a00RB00002AyetkYAB
a0FRB00000YqSO72AN,MFIW-000420,63150543,60500,反映可能,a00RB00002Am2BnYAJ
a0FRB00000YqSO92AN,MFIW-000422,63150545,175450,反映可能,a00RB00002B5oLMYAZ
a0FRB00000YqSOA2A3,MFIW-000423,63150546,36300,反映可能,a00RB00002AyE6MYAV
a0FRB00000YqSOB2A3,MFIW-000424,63150547,12100,反映可能,a00RB00002AyetlYAB
a0FRB00000YqLuQ2AV,MFIW-000425,63150549,12100,反映可能,a00RB00002AyetiYAB
a0FRB00000YqLuR2AV,MFIW-000426,63150551,8800,反映可能,a00RB00002B4i4KYAR
a0FRB00000YqLuS2AV,MFIW-000427,63150553,12100,反映可能,a00RB00002B4i4LYAR
a0FRB00000YqLuT2AV,MFIW-000428,63150554,48400,反映可能,a00RB00002B4i4MYAR
a0FRB00000YqLuU2AV,MFIW-000429,63150555,8800,反映可能,a00RB00002B4i4NYAR
a0FRB00000YqLuV2AV,MFIW-000430,63150558,8800,反映可能,a00RB00002Am2BjYAJ
a0FRB00000YqLuX2AV,MFIW-000432,63150563,8800,反映可能,a00RB00002Am2BkYAJ
a0FRB00000YqLuY2AV,MFIW-000433,63150566,17600,反映可能,a00RB00002Am2BlYAJ
a0FRB00000YqLuZ2AV,MFIW-000434,63150567,60500,反映可能,a00RB00002Am2BmYAJ
a0FRB00000Yr46j2AB,MFIW-000435,63150568,8800,反映可能,a00RB00002B4i4OYAR
a0FRB00000Yr46k2AB,MFIW-000436,63150569,8800,反映可能,a00RB00002Am2BoYAJ
a0FRB00000Yr46l2AB,MFIW-000437,63150570,48400,反映可能,a00RB00002B4i4PYAR
a0FRB00000Yr46m2AB,MFIW-000438,63150571,8800,反映可能,a00RB00002Am2BpYAJ
a0FRB00000Yr46n2AB,MFIW-000439,63150572,60500,反映可能,a00RB00002Am2BqYAJ
a0FRB00000Yr46o2AB,MFIW-000440,63150573,12100,反映可能,a00RB00002B0dy8YAB
a0FRB00000Yr46p2AB,MFIW-000441,63150574,12100,反映可能,a00RB00002AyE6NYAV
a0FRB00000Yr46q2AB,MFIW-000442,63150577,12100,反映可能,a00RB00002AyE6OYAV
a0FRB00000Yr46r2AB,MFIW-000443,63150578,8800,反映可能,a00RB00002B4i4QYAR
a0FRB00000Yr46s2AB,MFIW-000444,63150579,60500,反映可能,a00RB00002Am2BrYAJ
