Id,Name,MasterContract__c,MasterContract__r.Status__c,ContractPeriod__c,Month__c,ProductMaster__c,RevenueAmount__c,MRR_Target__c,PeriodStartDate__c,PeriodEndDate__c,CreatedDate
a03RB00001STmHmYAL,株式会社エージェント_2026/08,a04RB00000kUAPjYAO,Activated,a0BRB000010uuko2AA,2026/08,,11000,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
a03RB00001STmHnYAL,株式会社博進コスモプラザ_2026/08,a04RB00000kUAPlYAO,Activated,a0BRB000010uukp2AA,2026/08,,11000,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
a03RB00001STmHoYAL,株式会社香川不動産買取センター_2026/08,a04RB00000kUAPnYAO,Activated,a0BRB000010uukq2AA,2026/08,a0CRB0000CcXZ6i2QG,11000,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
a03RB00001STmHpYAL,ONETEAM不動産_2026/08,a04RB00000kUAPxYAO,Activated,a0BRB000010uukr2AA,2026/08,a0CRB0000CcXZ6i2QG,11000,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
a03RB00001STmHqYAL,TC神鋼不動産株式会社_2026/08,a04RB00000kUAPzYAO,解約,,2026/08,a0CRB0000CcXZ6i2QG,11000,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
a03RB00001STmHrYAL,株式会社TAKUTO_2026/08,a04RB00000kUAQ0YAO,Activated,a0BRB000010uukt2AA,2026/08,a0CRB0000CcXZ6i2QG,11000,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
a03RB00001STmHsYAL,ホームトレードセンター株式会社_2026/08,a04RB00000kUAQ2YAO,Activated,a0BRB000010uuku2AA,2026/08,,11000,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
a03RB00001STmHtYAL,株式会社アズスタット_2026/08,a04RB00000kUAQ3YAO,Activated,a0BRB000010uukv2AA,2026/08,,11000,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
a03RB00001STmHuYAL,株式会社レーベントラスト_2026/08,a04RB00000kUAQ6YAO,Activated,a0BRB000010uukw2AA,2026/08,,55000,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
a03RB00001STmHvYAL,株式会社 三福管理センター_2026/08,a04RB00000kUAQ9YAO,Activated,a0BRB000010uukx2AA,2026/08,a0CRB0000CcXZ6j2QG,55000,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
