"Id","Name","ContractName","Account","Start","MRR","ResolvedWork","UncreatedResolved","AccountWork","UncreatedAccount","BillingSource"
"a04RB00000kUAP2YAO","CN-00000090","株式会社サンケイビル","001RB00001VTrvXYAT","2026-04-01","70000","0","0","1","0",""
"a04RB00000kUAP8YAO","CN-00000096","近鉄不動産","001RB00001VTrvcYAD","2026-04-01","180000","0","0","6","3",""
"a04RB00000kUAP9YAO","CN-00000097","近鉄不動産(セキュリティオプション月額）","001RB00001VTrvcYAD","2026-04-01","100000","0","0","6","3",""
"a04RB00000kUAPCYA4","CN-00000100","株式会社フジタ　BIM推進部","001RB00001VTrwFYAT","2026-04-01","42000","0","0","4","3",""
"a04RB00000kUAPDYA4","CN-00000101","株式会社フジタ　設計統括部","001RB00001VTrwFYAT","2026-04-01","98000","0","0","4","3",""
"a04RB00000kUAPKYA4","CN-00000108","株式会社デザインアーク　東京本店　東京スペースソリューション第１営業所","001RB00001VTruAYAT","2026-06-01","30000","0","0","13","8",""
"a04RB00000kUAPLYA4","CN-00000109","NTTファシリティーズ株式会社","001RB00001VTrnrYAD","2026-06-01","150000","0","0","0","0",""
"a04RB00000kUAPMYA4","CN-00000110","合同会社小島屋","001RB00001VTruZYAT","2026-06-01","8000","0","0","0","0",""
"a04RB00000kUAPZYA4","CN-00000123","株式会社西武開発","001RB00001VTqaIYAT","2024-12-01","93500","1","1","1","1",""
"a04RB00000kUAPgYAO","CN-00000130","株式会社ヨコハマ地所","001RB00001VTqYlYAL","2025-02-01","11000","0","0","0","0",""
"a04RB00000lZ54zYAC","CN-00000191","野村不動産株式会社　商業事業本部","001RB00001VTCYEYA5","2026-07-01","198000","1","1","9","4",""
"a04RB00000n5JeAYAU","CN-00000228","株式会社ワンズ・レーニア Rendery Enterpriseプラン Freee自動請求契約","001RB00001VTrrHYAT","2026-07-01","","2","2","2","2","Freee"
"a04RB00000nCmpRYAS","CN-00000233","株式会社サンテン・コーポレーション Rendery Proプラン Freee自動請求契約","001RB00001VTrRuYAL","2026-07-01","","1","1","1","1","Freee"
"a04RB00000nCmpSYAS","CN-00000234","株式会社パインウェル Rendery Proプラン Freee自動請求契約","001RB00001b3qNeYAI","2026-07-01","","1","1","1","1","Freee"
"a04RB00000nCmpTYAS","CN-00000235","大東建託株式会社 [OLD] Rendery Enterpriseプラン(2025年9月まで) Freee自動請求契約","001RB00001VTruMYAT","2025-09-01","132000","4","4","6","5","Freee"
"a04RB00000nRI1RYAW","CN-00000240","矢作建設_契約変更","001RB00001VTqlfYAD","2026-08-01","","0","0","0","0","Salesforce"
"a04RB00000nS9IfYAK","CN-00000242","株式会社フォーデック Rendery Proプラン Freee自動請求契約","001RB00001VTrqOYAT","2026-07-01","","1","1","1","1","Freee"
