"Id","Name","FreeeInvoiceId__c","FreeeInvoiceNumber__c","PartnerName__c","BillingDate__c","InvoiceAmount__c","ImportStatus__c","ResolvedAccount__c","ResolvedContract__c","ResolvedContractPeriod__c","ValidationMessage__c"
"a0FRB00000WjTmn2AF","MFIW-000269","58712978","INV-0000001274","西日本旅客鉄道株式会社","2026-05-20","8800","反映可能","001RB00001VTro2YAD","a04RB00000kUAPHYA4","a0BRB00000ynn582AA",""
"a0FRB00000WjTmo2AF","MFIW-000270","62350333","INV-0000001377","株式会社乃村工藝社","2026-05-18","35200","反映可能","001RB00001VTCZZYA5","a04RB00000kUAPIYA4","a0BRB00000ynn592AA",""
"a0FRB00000Wjfw22AB","MFIW-000306","56527545","INV-0000001142","野原グループ株式会社","2026-04-20","8800","反映可能","001RB00001VTqbbYAD","a04RB00000kUAOFYA4","a0BRB00000ynb6A2AQ",""
"a0FRB00000Wjfw42AB","MFIW-000308","56527548","INV-0000001144","吉村紳　一級建築士事務所","2026-04-20","8800","反映可能","001RB00001VTqU3YAL","a04RB00000kUAO7YAO","a0BRB00000ynb622AA",""
"a0FRB00000Wjfw52AB","MFIW-000309","56527550","INV-0000001145","ANAスカイビルサービス株式会社","2026-04-20","17600","反映可能","001RB00001VTCYFYA5","a04RB00000kUAO2YAO","a0BRB00000ynb5x2AA",""
"a0FRB00000Wjfw62AB","MFIW-000310","56527551","INV-0000001146","47内装株式会社","2026-04-20","60500","反映可能","001RB00001VTCYGYA5","a04RB00000kUAO1YAO","a0BRB00000ynb5w2AA",""
"a0FRB00000Wjfw82AB","MFIW-000312","56527553","INV-0000001148","株式会社TRIAD","2026-04-20","8800","反映可能","001RB00001VTqUoYAL","a04RB00000kUANwYAO","a0BRB00000ynb5r2AA",""
"a0FRB00000WjhrB2AR","MFIW-000353","54153856","INV-0000001070","47内装株式会社","2026-03-20","60500","反映可能","001RB00001VTCYGYA5","a04RB00000kUAO1YAO","a0BRB00000ynb5w2AA",""
"a0FRB00000WjhrD2AR","MFIW-000355","54153858","INV-0000001072","株式会社TRIAD","2026-03-20","8800","反映可能","001RB00001VTqUoYAL","a04RB00000kUANwYAO","a0BRB00000ynb5r2AA",""
"a0FRB00000WjhrG2AR","MFIW-000358","54153862","INV-0000001075","株式会社ムゲンエステート","2026-03-20","8800","反映可能","001RB00001VTqlOYAT","a04RB00000kUANmYAO","a0BRB00000ynb5h2AA",""
"a0FRB00000WjhrI2AR","MFIW-000360","54153865","INV-0000001077","東急株式会社","2026-03-20","12100","反映可能","001RB00001VTrs0YAD","a04RB00000kUANgYAO","a0BRB00000ynb5b2AA",""
"a0FRB00000WjhrJ2AR","MFIW-000361","54153866","INV-0000001078","戸田建設株式会社","2026-03-20","60500","反映可能","001RB00001VTrmnYAD","a04RB00000kUAO0YAO","a0BRB00000ynb5v2AA",""
"a0FRB00000WjhzI2AR","MFIW-000366","54153874","INV-0000001083","JOA株式会社","2026-03-20","60500","反映可能","001RB00001VTqmBYAT","a04RB00000kUAORYA4","a0BRB00000ynb6M2AQ",""
"a0FRB00000WjhzL2AR","MFIW-000369","54153880","INV-0000001086","株式会社レーベントラスト","2026-03-20","60500","反映可能","001RB00001VTqbqYAD","a04RB00000kUAQ6YAO","a0BRB00000ynn5y2AA",""
"a0FRB00000WjhzO2AR","MFIW-000372","54246390","INV-0000001093","三菱地所レジデンス株式会社","2026-03-20","17600","反映可能","001RB00001VTqf7YAD","a04RB00000kUAOjYAO","a0BRB00000ynb6e2AA",""
"a0FRB00000Ypg4w2AB","MFIW-000379","63077933","INV-0000001385","豊通ファシリティーズ株式会社","2026-07-20","17600","反映可能","001RB00001VTqy1YAD","a04RB00000kUAOgYAO","a0BRB00000ynb6b2AA",""
"a0FRB00000Ypg4x2AB","MFIW-000380","63077936","INV-0000001386","株式会社三福管理センター","2026-07-20","60500","反映可能","001RB00001VTqatYAD","a04RB00000kUAQ9YAO","a0BRB00000ynn612AA",""
"a0FRB00000Ypg4z2AB","MFIW-000382","63077941","INV-0000001388","フロンヴィルホームズ名古屋株式会社","2026-07-20","8800","反映可能","001RB00001VTr0hYAD","a04RB00000kUAOhYAO","a0BRB00000ynb6c2AA",""
"a0FRB00000Ypg502AB","MFIW-000383","63077943","INV-0000001389","株式会社夢のおてつだい","2026-07-20","60500","反映可能","001RB00001VTrkYYAT","a04RB00000kUAQCYA4","a0BRB00000ynn642AA",""
"a0FRB00000YptEz2AJ","MFIW-000385","63077948","INV-0000001391","Phantom株式会社","2026-07-20","17600","反映可能","001RB00001VTrkRYAT","a04RB00000kUAOtYAO","a0BRB00000ynb6o2AA",""
"a0FRB00000YptF12AJ","MFIW-000387","63077953","INV-0000001393","花菱不動産株式会社","2026-07-20","17600","反映可能","001RB00001VTrlBYAT","a04RB00000kUAOyYAO","a0BRB00000ynb6t2AA",""
"a0FRB00000YptF32AJ","MFIW-000389","63077959","INV-0000001395","三井住友建設株式会社","2026-07-20","8800","反映可能","001RB00001VTqeXYAT","a04RB00000kUAP3YAO","a0BRB00000ynb6y2AA",""
"a0FRB00000YptF42AJ","MFIW-000390","63077961","INV-0000001396","株式会社スタイルテック総合計画","2026-07-20","82500","反映可能","001RB00001VTrkbYAD","a04RB00000kUAP5YAO","a0BRB00000ynb702AA",""
"a0FRB00000YptF52AJ","MFIW-000391","63077963","INV-0000001397","株式会社ecoaハウス","2026-07-20","82500","反映可能","001RB00001VTrlqYAD","a04RB00000kUAP6YAO","a0BRB00000ynb712AA",""
"a0FRB00000YptF62AJ","MFIW-000392","63077966","INV-0000001398","株式会社ドムコス","2026-07-20","8800","反映可能","001RB00001VTrqdYAD","a04RB00000kUAP7YAO","a0BRB00000ynb722AA",""
"a0FRB00000YptF72AJ","MFIW-000393","63077968","INV-0000001399","Asplead株式会社","2026-07-20","17600","反映可能","001RB00001VTqnvYAD","a04RB00000kUAP4YAO","a0BRB00000ynb6z2AA",""
"a0FRB00000YptF82AJ","MFIW-000394","63077971","INV-0000001400","株式会社フィールド・デザイン・アーキテクツ一級建築士事務所","2026-07-20","8800","反映可能","001RB00001VTrqeYAD","a04RB00000kUAPAYA4","a0BRB00000ynb752AA",""
"a0FRB00000Yq7Ej2AJ","MFIW-000395","63077973","INV-0000001401","株式会社紀伊國屋書店","2026-07-20","44000","反映可能","001RB00001VTrUSYA1","a04RB00000kUAP1YAO","a0BRB00000ynb6w2AA",""
"a0FRB00000Yq7Ek2AJ","MFIW-000396","63077976","INV-0000001402","株式会社安井建築設計事務所","2026-07-20","8800","反映可能","001RB00001VTqU8YAL","a04RB00000kUAPEYA4","a0BRB00000ynn552AA",""
"a0FRB00000Yq7El2AJ","MFIW-000397","63077979","INV-0000001403","株式会社ルミネ","2026-07-20","8800","反映可能","001RB00001VTrYEYA1","a04RB00000kUAPBYA4","a0BRB00000ynb762AA",""
"a0FRB00000Yq7En2AJ","MFIW-000399","63077983","INV-0000001405","西日本旅客鉄道株式会社","2026-07-20","8800","反映可能","001RB00001VTro2YAD","a04RB00000kUAPHYA4","a0BRB00000ynn582AA",""
"a0FRB00000Yq7Eo2AJ","MFIW-000400","63077986","INV-0000001406","株式会社ジョイフル本田","2026-07-20","8800","反映可能","001RB00001VTqkQYAT","a04RB00000kUAPFYA4","a0BRB00000ynn562AA",""
"a0FRB00000Yq7Eq2AJ","MFIW-000402","63077990","INV-0000001408","ジーク株式会社","2026-07-20","82500","反映可能","001RB00001VTqsxYAD","a04RB00000kUAOnYAO","a0BRB00000ynb6i2AA",""
"a0FRB00000YqK3w2AF","MFIW-000408","63124834","INV-0000001414","サンフロンティア不動産株式会社","2026-07-20","70400","反映可能","001RB00001VTqlYYAT","a04RB00000kUANdYAO","a0BRB00000ynb5Y2AQ",""
"a0FRB00000YqK3x2AF","MFIW-000409","63125492","INV-0000001415","株式会社フロンティアコンサルティング","2026-07-20","605000","反映可能","001RB00001VTqlHYAT","a04RB00000kUANiYAO","a0BRB00000ynb5d2AA",""
"a0FRB00000YqLuV2AV","MFIW-000430","63150558","INV-0000001436","野原グループ株式会社","2026-07-20","8800","反映可能","001RB00001VTqbbYAD","a04RB00000kUAOFYA4","a0BRB00000ynb6A2AQ",""
"a0FRB00000YqLuX2AV","MFIW-000432","63150563","INV-0000001438","吉村紳　一級建築士事務所","2026-07-20","8800","反映可能","001RB00001VTqU3YAL","a04RB00000kUAO7YAO","a0BRB00000ynb622AA",""
"a0FRB00000YqLuY2AV","MFIW-000433","63150566","INV-0000001439","ANAスカイビルサービス株式会社","2026-07-20","17600","反映可能","001RB00001VTCYFYA5","a04RB00000kUAO2YAO","a0BRB00000ynb5x2AA",""
"a0FRB00000YqLuZ2AV","MFIW-000434","63150567","INV-0000001440","47内装株式会社","2026-07-20","60500","反映可能","001RB00001VTCYGYA5","a04RB00000kUAO1YAO","a0BRB00000ynb5w2AA",""
"a0FRB00000Yr46k2AB","MFIW-000436","63150569","INV-0000001442","株式会社TRIAD","2026-07-20","8800","反映可能","001RB00001VTqUoYAL","a04RB00000kUANwYAO","a0BRB00000ynb5r2AA",""
"a0FRB00000Yr46m2AB","MFIW-000438","63150571","INV-0000001444","株式会社ムゲンエステート","2026-07-20","8800","反映可能","001RB00001VTqlOYAT","a04RB00000kUANmYAO","a0BRB00000ynb5h2AA",""
"a0FRB00000Yr46n2AB","MFIW-000439","63150572","INV-0000001445","戸田建設株式会社","2026-07-20","60500","反映可能","001RB00001VTrmnYAD","a04RB00000kUAO0YAO","a0BRB00000ynb5v2AA",""
"a0FRB00000Yr46s2AB","MFIW-000444","63150579","INV-0000001450","JOA株式会社","2026-07-20","60500","反映可能","001RB00001VTqmBYAT","a04RB00000kUAORYA4","a0BRB00000ynb6M2AQ",""
"a0FRB00000YrJ2Y2AV","MFIW-000446","63150581","INV-0000001452","株式会社レーベントラスト","2026-07-20","60500","反映可能","001RB00001VTqbqYAD","a04RB00000kUAQ6YAO","a0BRB00000ynn5y2AA",""
