"Name","ACV__c","ContractUpdate__c","Account__c","Contact__c","Description__c","ExpectedCloseDate__c","LostDate__c","LostReason__c","MRR__c","NextActivityDate__c","NextStep__c","StageName__c","StandardCloseDate__c","StandardProbability__c","StartDate__c","StandardStartDate__c","ExpectedDuration__c"
"株式会社日立プラントサービス の取引","1320000","月","001BS00001bgVb7YAE","003BS00000f4NVLYA2","","2026-06-01","2026-05-22","Needs mismatch","110000","2026-02-16","","Closed Lost","2026-05-22","","","",""
"エコワークス の取引","145200","月","001BS00001bgVXeYAM","003BS00000f4NcBYAU","","","","","12100","","","Prospecting","","","","",""
"戸田建設株式会社 Upsell の取引","396000","月","001BS00001bgWHFYA2","003BS00000f4L02YAE","","","","","33000","","","Closed Won","2025-07-30","","","",""
"ノムラメディアス の取引","1056000","月","001BS00001bgV5yYAE","","","","","","88000","2025-11-19","","Prospecting","","","","",""
"プラス株式会社ファニチャーカンパニー の取引","924000","月","001BS00001bgV67YAE","","","2026-03-01","","","77000","","","Closed Lost","","","","",""
"乃村工藝社 の取引","900000","月","001BS00001bgV6HYAU","003BS00000f4PeHYAU","","2026-06-01","","","75000","","","ValueProposition","","","","",""
"株式会社 アイエス不動産 の取引","162700","月","001BS00001bgVbfYAE","003BS00000f4NcHYAU","","","","","12100","","","Closed Won","2025-08-06","","","",""
"株式会社飯田組 の取引","211200","月","001BS00001bgWO8YAM","003BS00000f4P4bYAE","","","","","17600","","","Closed Won","2025-10-08","","","",""
"株式会社ディア・ライフ の取引","0","月","001BS00001bgVYSYA2","","","","","","0","","","Closed Lost","","","","",""
"清水建設株式会社 の取引","660000","月","001BS00001bgWOnYAM","","","","","","55000","","","Closed Lost","","","","",""
"大東建託株式会社 の取引","0","月","001BS00001bgWNCYA2","","","","2025-11-28","Needs mismatch","0","","","Closed Lost","2025-11-28","","","",""
"TOPPAN株式会社 の取引","0","月","001BS00001bgVQYYA2","003BS00000f4NVIYA2","","","","","0","","","Negotiation","","","","",""
"東急不動産ホールディングス株式会社/東急不動産株式会社 の取引","2640000","月","001BS00001bgVYjYAM","003BS00000f4Jk0YAE","","","","","220000","","","ValueProposition","","","","",""
"大林ファシリティーズ株式会社 の取引","105600","月","001BS00001bgVXTYA2","003BS00000f4NPNYA2","","","","","8800","2025-08-20","","Closed Won","2025-08-20","","","",""
"TBCグループ株式会社 の取引","0","月","001BS00001bgVbLYAU","","","","","","0","","","Closed Lost","","","","",""
"Asplead株式会社 の取引","211200","月","001BS00001bgVbjYAE","003BS00000f4P4UYAU","","2026-03-30","","","17600","","","Closed Won","2026-03-25","","","",""
"三菱地所レジデンス の取引","211200","月","001BS00001bgVSvYAM","003BS00000f4P4VYAU","","","","","17600","","","Closed Won","2026-01-08","","","",""
"TOPPAN株式会社 の取引","211200","月","001BS00001bgVQYYA2","","","","","","17600","2025-12-19","","Closed Lost","","","","",""
"ビルド・ワークス の取引","105600","月","001BS00001bgVbkYAE","003BS00000f4P4WYAU","","","","","8800","","","Closed Won","2025-09-01","","","",""
"YAF の取引","0","月","001BS00001bgVblYAE","003BS00000f4P4XYAU","","","","","0","2026-02-24","","Closed Lost","","","","",""
"清水建設株式会社(スマートシティ) の取引","660000","月","001BS00001bgWOnYAM","","","","","","55000","2025-11-05","","Prospecting","","","","",""
"東京建物株式会社 の取引","0","月","001BS00001bgVSxYAM","003BS00000f4Ky8YAE","","","","","0","","","Closed Lost","","","","",""
"大成建設株式会社 の取引","1320000","月","001BS00001bgVRBYA2","","","","2025-11-17","Needs mismatch","110000","","","Closed Lost","2025-11-17","","","",""
"生和コーポレーション株式会社(関東) の取引","0","月","001BS00001bgVaQYAU","","","","","","0","","","Closed Lost","","","","",""
"株式会社ユタカコーポレーション の取引","3500","月","001BS00001bgVbnYAE","003BS00000f4P4dYAE","","","","","0","","","Closed Won","2025-09-24","","","",""
"ソーシャルインテリア の取引","900000","月","001BS00001bgVboYAE","","","","2026-05-26","No agreement on issue or setup","75000","2025-12-17","","Closed Lost","2026-05-26","","","",""
"東京海上日動ファシリティーズ株式会社 の取引","900000","月","001BS00001bgVbIYAU","003BS00000f4NVWYA2","","","","","75000","2025-12-10","","Closed Lost","","","","",""
"株式会社ほりきり太郎不動産 の取引","3500","月","001BS00001bgVc0YAE","003BS00000f4P4xYAE","","","","","0","","","Closed Won","2025-09-24","","","",""
"株式会社エイブル","290000","月","001BS00001bgVyOYAU","","","","","","0","","","Closed Won","2025-10-03","","","",""
"生和コーポレーション株式会社(西日本支社)","1800000","月","001BS00001bgVaQYAU","003BS00000f4PrJYAU","","","","","150000","","","Closed Lost","","","","",""
"日鉄興和不動産株式会社","2340000","月","001BS00001bgWHmYAM","003BS00000f4UH9YAM","","2026-02-13","","","195000","2026-01-06","","Closed Won","2026-02-12","","","",""
"相鉄アーバンクリエイツ　西口事業部 の取引","105600","月","001BS00001bgVeEYAU","003BS00000f4UH8YAM","","","","","8800","","","Closed Lost","","","","",""
"日本社宅サービス株式会社","0","月","001BS00001bgVg2YAE","003BS00000f4PIwYAM","","","","","0","","","Qualification","","","","",""
"株式会社JPMC","0","月","001BS00001bgVcLYAU","","","","","","0","","","Prospecting","","","","",""
"森ビル株式会社 の取引","105600","月","001BS00001bgVNHYA2","003BS00000f4QDcYAM","","2026-03-01","","","8800","","","Closed Won","2026-03-12","","","",""
"三弘建築事務所株式会社","672000","月","001BS00001bgViPYAU","","","2026-03-01","2026-05-21","Customer concern unresolved","56000","","","Closed Lost","2026-05-21","","","",""
"株式会社大阪ガスファシリティーズ の取引","0","月","001BS00001bgViQYAU","003BS00000f4QDdYAM","","","2026-01-21","","0","","","Closed Lost","2026-01-21","","","",""
"TR-Archi Office の取引","0","月","001BS00001bgVbDYAU","003BS00000f4QDeYAM","","","","","0","","","Closed Lost","","","","",""
"東急建設株式会社","0","月","001BS00001bgWLUYA2","003BS00000f4Q6IYAU","","","","","0","2025-10-24","","ValueProposition","","","","",""
"福井コンピュータースマート株式会社","0","月","001BS00001bgViRYAU","","","","","","0","2026-01-16","","Closed Won","","","","",""
"三越伊勢丹プロパティデザイン株式会社","528000","月","001BS00001bgViSYAU","003BS00000f4QDfYAM","","","","","44000","","","Closed Won","2025-12-17","","","",""
"株式会社住研川越 の取引","145200","月","001BS00001bgViTYAU","003BS00000f4QDgYAM","","","","","12100","","","Closed Won","2025-11-04","","","",""
"荏原環境プラント株式会社 の取引","2390000","月","001BS00001bgViUYAU","003BS00000f4QDhYAM","","2026-05-01","","","170000","","","Negotiation","","","","",""
"株式会社ホープハウスシステム の取引","0","月","001BS00001bgVZWYA2","003BS00000f4JtCYAU","","","","","0","","","Prospecting","","","","",""
"株式会社ビヨンドボーダーズ の取引","0","月","001BS00001bgViVYAU","003BS00000f4QDiYAM","","","2026-02-25","Needs mismatch","0","","","Closed Lost","2026-02-25","","","",""
"株式会社brackets の取引","105600","月","001BS00001bgViWYAU","003BS00000f4UHAYA2","","","","","8800","","","Prospecting","","","","",""
"株式会社エムアールビジネス の取引","0","月","001BS00001bgViXYAU","003BS00000f4QDpYAM","","","","","0","","","Negotiation","","","","",""
"株式会社ホープハウスシステム","0","月","001BS00001bgVZWYA2","003BS00000f4JtCYAU","","","","","0","","","Negotiation","","","","",""
"株式会社店研創意","900000","月","001BS00001bgViYYAU","003BS00000f4QDqYAM","","2026-04-01","","","75000","2025-12-17","","ValueProposition","","","","",""
"株式会社FUNC DESIGN の取引","105600","月","001BS00001bgViZYAU","003BS00000f4UHBYA2","","","","","8800","","","Prospecting","","","","",""
"株式会社サイバーエージェント の取引","316800","月","001BS00001bgViaYAE","003BS00000f4UHCYA2","","","","","26400","","","Closed Lost","","","","",""
"豊通ファシリティーズ株式会社 の取引","105600","月","001BS00001bgVibYAE","003BS00000f4UHDYA2","","","","","8800","","","Closed Won","2026-01-05","","","",""
"東急リバブル株式会社","1800000","月","001BS00001bgVicYAE","003BS00000f4UHEYA2","","2026-04-01","","","150000","2026-01-14","","ValueProposition","","","","",""
"株式会社アルテ","1584000","月","001BS00001bgVidYAE","","","","2026-01-04","Support or track record concern","132000","","","Closed Lost","2026-01-04","","","",""
"8175 STUDIO の取引","105600","月","001BS00001bgVieYAE","003BS00000f4QDrYAM","","2026-04-15","","","8800","","","Closed Lost","","","","",""
"株式会社日企設計","460800","月","001BS00001bgVigYAE","003BS00000f4QDtYAM","","2026-02-20","","","38400","","","Closed Lost","","","","",""
