Id,ProductMaster__c,MRR_Target__c,ARR_Target__c,RevenueAmount__c
a03RB00001NswcMYAR,a0CRB0000CcXZ6Q2QW,true,true,8000
a03RB00001NswcNYAR,a0CRB0000CcXZ6Q2QW,true,true,8000
a03RB00001NswcOYAR,a0CRB0000CcXZ6Q2QW,true,true,8000
a03RB00001NswcPYAR,a0CRB0000CcXZ6Q2QW,true,true,8000
a03RB00001NswcQYAR,a0CRB0000CcXZ6Q2QW,true,true,8000
a03RB00001NswcRYAR,a0CRB0000CcXZ6Q2QW,true,true,8000
a03RB00001NswcSYAR,a0CRB0000CcXZ6Q2QW,true,true,8000
a03RB00001NswcTYAR,a0CRB0000CcXZ6Q2QW,true,true,8000
a03RB00001NswcUYAR,a0CRB0000CcXZ6Q2QW,true,true,8000
a03RB00001STmH4YAL,a0CRB0000CcXZ6Q2QW,true,true,8000
a03RB00001NsweUYAR,a0CRB0000CcXZ6T2QW,true,true,55000
a03RB00001NsweVYAR,a0CRB0000CcXZ6T2QW,true,true,55000
a03RB00001NsweWYAR,a0CRB0000CcXZ6T2QW,true,true,55000
a03RB00001NsweXYAR,a0CRB0000CcXZ6T2QW,true,true,55000
a03RB00001NsweYYAR,a0CRB0000CcXZ6T2QW,true,true,55000
a03RB00001NsweZYAR,a0CRB0000CcXZ6T2QW,true,true,55000
a03RB00001STmH9YAL,a0CRB0000CcXZ6T2QW,true,true,55000
a03RB00001STmHQYA1,a0CRB0000CcXZ6Q2QW,true,true,40000
a03RB00001STmHZYA1,a0CRB0000CcXZ6Q2QW,true,true,8000
a03RB00001STmHbYAL,a0CRB0000CcXZ6Q2QW,true,true,8000
a03RB00001STmHcYAL,a0CRB0000CcXZ6Q2QW,true,true,8000
a03RB00001RcACIYA3,a0CRB0000CcXZ6Q2QW,true,true,32000
a03RB00001STmHdYAL,a0CRB0000CcXZ6Q2QW,true,true,32000
a03RB00001NswljYAB,a0CRB0000CcXZ6i2QG,true,true,11000
a03RB00001NswlkYAB,a0CRB0000CcXZ6i2QG,true,true,11000
a03RB00001NswllYAB,a0CRB0000CcXZ6i2QG,true,true,11000
a03RB00001NswlmYAB,a0CRB0000CcXZ6i2QG,true,true,11000
a03RB00001NswlnYAB,a0CRB0000CcXZ6i2QG,true,true,11000
a03RB00001NswloYAB,a0CRB0000CcXZ6i2QG,true,true,11000
a03RB00001NswlpYAB,a0CRB0000CcXZ6i2QG,true,true,11000
a03RB00001NswlqYAB,a0CRB0000CcXZ6i2QG,true,true,11000
a03RB00001NswlrYAB,a0CRB0000CcXZ6i2QG,true,true,11000
a03RB00001NswlsYAB,a0CRB0000CcXZ6i2QG,true,true,11000
a03RB00001NswltYAB,a0CRB0000CcXZ6i2QG,true,true,11000
a03RB00001NswluYAB,a0CRB0000CcXZ6i2QG,true,true,11000
a03RB00001NswlvYAB,a0CRB0000CcXZ6i2QG,true,true,11000
a03RB00001NswlwYAB,a0CRB0000CcXZ6i2QG,true,true,11000
a03RB00001NswlxYAB,a0CRB0000CcXZ6i2QG,true,true,11000
a03RB00001NswlyYAB,a0CRB0000CcXZ6i2QG,true,true,11000
a03RB00001NswlzYAB,a0CRB0000CcXZ6i2QG,true,true,11000
a03RB00001Nswm0YAB,a0CRB0000CcXZ6i2QG,true,true,11000
a03RB00001Nsws9YAB,a0CRB0000CcXZ6j2QG,true,true,55000
a03RB00001NswsAYAR,a0CRB0000CcXZ6j2QG,true,true,55000
a03RB00001NswsBYAR,a0CRB0000CcXZ6j2QG,true,true,55000
a03RB00001NswsCYAR,a0CRB0000CcXZ6j2QG,true,true,55000
a03RB00001NswsDYAR,a0CRB0000CcXZ6j2QG,true,true,55000
a03RB00001NswsEYAR,a0CRB0000CcXZ6j2QG,true,true,55000
a03RB00001STmHuYAL,a0CRB0000CcXZ6j2QG,true,true,55000
