"Id","Name","InvoiceWork__c","Description__c","Quantity__c","UnitPrice__c","LineAmount__c","SuggestedProductMaster__c","ConfirmedProductMaster__c","ProductResolveStatus__c","ImportStatus__c","CreatedInvoiceLine__c","ResolveMessage__c"
"a0ERB00000PHnM82AL","MFILW-000488","a0FRB00000Ypg4u2AB","Rendery_Pro_月額利用料","6","8000","48000","a0CRB0000CcXZ6Q2QW","a0CRB0000CcXZ6Q2QW","確定済み","取得済み",,"過去の確定済み明細と、明細名・単価・数量・金額・商品候補が完全一致したため自動確定しました。"
"a0ERB00000PHnM92AL","MFILW-000489","a0FRB00000Ypg4v2AB","Rendery Enterpriseプラン10アカウント_月額","10","15000","150000","a0CRB0000CcXZ6V2QW","a0CRB0000CcXZ6V2QW","確定済み","取得済み",,"過去の確定済み明細と、明細名・単価・数量・金額・商品候補が完全一致したため自動確定しました。"
"a0ERB00000PHnMA2A1","MFILW-000490","a0FRB00000Ypg4v2AB","セキュリティオプション+_運用費用_月額","1","100000","100000","a0CRB0000CcXZ6a2QG",,"要確認","取得済み",,"No ProductMaster candidate found."
"a0ERB00000PHnMD2A1","MFILW-000493","a0FRB00000Ypg4y2AB","Rendery_Pro_3アカウント_月額費用","3","8000","24000","a0CRB0000CcXZ6Q2QW","a0CRB0000CcXZ6Q2QW","確定済み","取得済み",,"過去の確定済み明細と、明細名・単価・数量・金額・商品候補が完全一致したため自動確定しました。"
"a0ERB00000PHnMG2A1","MFILW-000496","a0FRB00000Ypg512AB","knock knock AI_Basicプラン(月額)","1","11000","11000","a0CRB0000CcXZ6i2QG",,"候補あり","取得済み",,"Matched by unit price and product name."
"a0ERB00000PIEvp2AH","MFILW-000510","a0FRB00000Yq7Em2AJ","[月額費用]Rendery Enterpriseプラン_11アカウント","12","15000","180000","a0CRB0000CcXZ6V2QW",,"候補あり","取得済み",,"Matched by unit price and product name."
"a0ERB00000PIEvq2AH","MFILW-000511","a0FRB00000Yq7Em2AJ","[月額費用]セキュリティオプション+_運用費用","1","100000","100000","a0CRB0000CcXZ6a2QG",,"要確認","取得済み",,"No ProductMaster candidate found."
"a0ERB00000PIEvt2AH","MFILW-000514","a0FRB00000Yq7Ep2AJ","Rendery Enterpriseプラン_月額","2","15000","30000","a0CRB0000CcXZ6V2QW","a0CRB0000CcXZ6V2QW","確定済み","取得済み",,"過去の確定済み明細と、明細名・単価・数量・金額・商品候補が完全一致したため自動確定しました。"
"a0ERB00000PIEvv2AH","MFILW-000516","a0FRB00000Yq7Er2AJ","Rendery_Proプラン_1アカウント(月額費用)","1","8000","8000","a0CRB0000CcXZ6Q2QW","a0CRB0000CcXZ6Q2QW","確定済み","取得済み",,"過去の確定済み明細と、明細名・単価・数量・金額・商品候補が完全一致したため自動確定しました。"
"a0ERB00000PIEvw2AH","MFILW-000517","a0FRB00000Yq7Es2AJ","Rendery Enterpriseプラン_3アカウント_月払い","3","16000","48000",,,"要確認","取得済み",,"No ProductMaster candidate found."
