"Id","Name","FreeeInvoiceId__c","FreeeInvoiceNumber__c","PartnerName__c","BillingDate__c","InvoiceAmount__c","ImportStatus__c","ResolvedAccount__c","ResolvedContract__c","ResolvedContractPeriod__c","CreatedInvoice__c","ValidationMessage__c"
"a0FRB00000Wjfvy2AB","MFIW-000302","56527539","INV-0000001138","アイリスオーヤマ株式会社(空間デザイン部)","2026-04-20","12100","要確認","001RB00001br9KgYAI",,,,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。"
"a0FRB00000Wjfvz2AB","MFIW-000303","56527540","INV-0000001139","アイリスオーヤマ株式会社(ストアソリューション営業部ストアデザインチーム)","2026-04-20","48400","要確認","001RB00001br9KfYAI",,,,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。"
"a0FRB00000Wjfw02AB","MFIW-000304","56527541","INV-0000001140","九州旅客鉄道株式会社(博多設備区)","2026-04-20","8800","要確認","001RB00001br9KNYAY",,,,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。"
"a0FRB00000Wjfw12AB","MFIW-000305","56527544","INV-0000001141","株式会社ジョイフル本田","2026-04-20","60500","要確認","001RB00001VTqkQYAT",,,,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。"
"a0FRB00000Wjfw72AB","MFIW-000311","56527552","INV-0000001147","九州旅客鉄道株式会社(建設工事部施設課)","2026-04-20","8800","要確認","001RB00001br9KLYAY",,,,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。"
"a0FRB00000Wj5UA2AZ","MFIW-000313","56527554","INV-0000001149","インフィニティ株式会社","2026-04-20","8800","要確認","001RB00001VTCYwYAP",,,,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。"
"a0FRB00000Wj5UB2AZ","MFIW-000314","56527556","INV-0000001150","東急リゾーツ＆ステイ株式会社","2026-04-20","108900","要確認","001RB00001br9KMYAY",,,,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。
商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"a0FRB00000Wj5UF2AZ","MFIW-000318","56527560","INV-0000001154","株式会社エージェント","2026-04-20","12100","要確認","001RB00001VTqZWYA1","a04RB00000kUAPjYAO","a0BRB00000ynn5b2AA",,"商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"a0FRB00000Wj5UG2AZ","MFIW-000319","56527562","INV-0000001155","ホームトレードセンター株式会社","2026-04-20","12100","要確認","001RB00001VTqnbYAD","a04RB00000kUAQ2YAO","a0BRB00000ynn5u2AA",,"商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"a0FRB00000Wj5UH2AZ","MFIW-000320","56527563","INV-0000001156","株式会社アズスタット","2026-04-20","12100","要確認","001RB00001VTqnHYAT","a04RB00000kUAQ3YAO","a0BRB00000ynn5v2AA",,"商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
