"Id","Name","InvoiceWork__c","WorkName","WorkStatus","Description__c","Quantity__c","UnitPrice__c","LineAmount__c","SuggestedProductMaster__c","ConfirmedProductMaster__c","ProductResolveStatus__c","ImportStatus__c","CreatedInvoiceLine__c","CreatedInvoiceLineProduct","ResolveMessage__c"
"a0ERB00000OjwQU2AZ","MFILW-000353","a0FRB00000WjTBm2AN","MFIW-000254","要確認","knock knock AI_Basicプラン(月額)","1","11000","11000","a0CRB0000CcXZ6i2QG",,"候補あり","取得済み",,,"Matched by unit price and product name."
"a0ERB00000OjzOC2AZ","MFILW-000380","a0FRB00000Wj59K2AR","MFIW-000278","要確認","knock knock AI_Basicプラン(月額)","3","11000","33000","a0CRB0000CcXZ6i2QG",,"候補あり","取得済み",,,"Matched by unit price and product name."
"a0ERB00000Ok0Yj2AJ","MFILW-000399","a0FRB00000Wjfvt2AB","MFIW-000297","要確認","knock knock AI_Basicプラン(月額)","3","11000","33000","a0CRB0000CcXZ6i2QG",,"候補あり","取得済み",,,"Matched by unit price and product name."
"a0ERB00000Ok10B2AR","MFILW-000421","a0FRB00000Wj5UG2AZ","MFIW-000319","要確認","knock knock AI_Basicプラン(月額)","1","11000","11000","a0CRB0000CcXZ6i2QG",,"候補あり","取得済み",,,"Matched by unit price and product name."
"a0ERB00000Ok10C2AR","MFILW-000422","a0FRB00000Wj5UH2AZ","MFIW-000320","要確認","knock knock AI_Basicプラン(月額)","1","11000","11000","a0CRB0000CcXZ6i2QG",,"候補あり","取得済み",,,"Matched by unit price and product name."
"a0ERB00000Ok1gR2AR","MFILW-000461","a0FRB00000WjFOz2AN","MFIW-000351","要確認","knock knock AI_Basicプラン(月額)","1","11000","11000","a0CRB0000CcXZ6i2QG",,"候補あり","取得済み",,,"Matched by unit price and product name."
"a0ERB00000Ok2KL2AZ","MFILW-000473","a0FRB00000WjhzF2AR","MFIW-000363","要確認","knock knock AI_Basicプラン(月額)","1","11000","11000","a0CRB0000CcXZ6i2QG",,"候補あり","取得済み",,,"Matched by unit price and product name."
"a0ERB00000Ok2KM2AZ","MFILW-000474","a0FRB00000WjhzG2AR","MFIW-000364","要確認","knock knock AI_Basicプラン(月額)","1","11000","11000","a0CRB0000CcXZ6i2QG",,"候補あり","取得済み",,,"Matched by unit price and product name."
"a0ERB00000PHnM72AL","MFILW-000487","a0FRB00000Ypg4t2AB","MFIW-000376","要確認","knock knock AI_Basicプラン(月額)","1","11000","11000","a0CRB0000CcXZ6i2QG",,"候補あり","取得済み",,,"Matched by unit price and product name."
"a0ERB00000PHnMG2A1","MFILW-000496","a0FRB00000Ypg512AB","MFIW-000384","要確認","knock knock AI_Basicプラン(月額)","1","11000","11000","a0CRB0000CcXZ6i2QG",,"候補あり","取得済み",,,"Matched by unit price and product name."
"a0ERB00000PIXwo2AH","MFILW-000552","a0FRB00000YqSO32AN","MFIW-000416","要確認","knock knock AI_Basicプラン(月額)","1","11000","11000","a0CRB0000CcXZ6i2QG",,"候補あり","取得済み",,,"Matched by unit price and product name."
"a0ERB00000PIXwv2AH","MFILW-000559","a0FRB00000YqSOA2A3","MFIW-000423","要確認","knock knock AI_Basicプラン(月額)","3","11000","33000","a0CRB0000CcXZ6i2QG",,"候補あり","取得済み",,,"Matched by unit price and product name."
"a0ERB00000PJ1AB2A1","MFILW-000577","a0FRB00000Yr46p2AB","MFIW-000441","要確認","knock knock AI_Basicプラン(月額)","1","11000","11000","a0CRB0000CcXZ6i2QG",,"候補あり","取得済み",,,"Matched by unit price and product name."
"a0ERB00000PJ1AC2A1","MFILW-000578","a0FRB00000Yr46q2AB","MFIW-000442","要確認","knock knock AI_Basicプラン(月額)","1","11000","11000","a0CRB0000CcXZ6i2QG",,"候補あり","取得済み",,,"Matched by unit price and product name."
