"Id","Name","FreeeInvoiceId__c","ImportStatus__c","CreatedInvoice__c","CreatedInvoiceFreeeId","CreatedInvoiceExternalKey","ResolvedAccount__c","ResolvedContract__c","ResolvedContractPeriod__c","ValidationMessage__c"
"a0FRB00000WihDJ2AZ","MFIW-000199","60861193","反映済み","a00RB000027fzNqYAI","60861193","freee_invoice:3687550:60861193","001RB00001VTqbqYAD","a04RB00000kUAQ6YAO","a0BRB00000ynn5y2AA",
"a0FRB00000WihDK2AZ","MFIW-000200","60899966","反映済み","a00RB000027fzNrYAI","60899966","freee_invoice:3687550:60899966","001RB00001VTqlYYAT","a04RB00000kUANdYAO","a0BRB00000ynb5Y2AQ",
"a0FRB00000WihDL2AZ","MFIW-000201","60900081","要確認","a00RB000027fzNsYAI","60900081","freee_invoice:3687550:60900081","001RB00001VTqlHYAT","a04RB00000kUANiYAO","a0BRB00000ynb5d2AA","請求明細の件名と商品マスタ名が類似していないため、請求作成を停止しました。金額一致だけで商品が選ばれている可能性があります。明細「Rendery　エンタープライズプラン」の商品マスタを確認してください。"
"a0FRB00000WihDM2AZ","MFIW-000202","60901483","要確認","a00RB000027fzNtYAI","60901483","freee_invoice:3687550:60901483","001RB00001VTqleYAD","a04RB00000kUAObYAO","a0BRB00000ynb6W2AQ","請求明細の件名と商品マスタ名が類似していないため、請求作成を停止しました。金額一致だけで商品が選ばれている可能性があります。明細「Rendery_Pro_月額利用料_注文番号：405342480」の商品マスタを確認してください。"
"a0FRB00000WihDP2AZ","MFIW-000205","60905677","反映済み","a00RB000027fzNuYAI","60905677","freee_invoice:3687550:60905677","001RB00001VTqkQYAT","a04RB00000kUAPFYA4","a0BRB00000ynn562AA",
"a0FRB00000WihDU2AZ","MFIW-000210","60946173","反映済み","a00RB000027fzNvYAI","60946173","freee_invoice:3687550:60946173","001RB00001VTrxYYAT","a04RB00000kUAPNYA4","a0BRB00000ynn5E2AQ",
"a0FRB00000WihDX2AZ","MFIW-000213","60953208","要確認","a00RB000027fzNwYAI","60953208","freee_invoice:3687550:60953208","001RB00001VTqleYAD","a04RB00000kUAObYAO","a0BRB00000ynb6W2AQ","請求明細の件名と商品マスタ名が類似していないため、請求作成を停止しました。金額一致だけで商品が選ばれている可能性があります。明細「Rendery_Pro_1アカウント年間利用料(アーキデザイン株式会社様)」の商品マスタを確認してください。"
"a0FRB00000WihDY2AZ","MFIW-000214","60953422","反映済み","a00RB000027fzNxYAI","60953422","freee_invoice:3687550:60953422","001RB00001VTqsxYAD","a04RB00000kUAOnYAO","a0BRB00000ynb6i2AA",
"a0FRB00000Wj59G2AR","MFIW-000274","54153833","反映済み","a00RB00002Am2AVYAZ","54153833","freee_invoice:3687550:54153833","001RB00001VTtIWYA1","a04RB00000kUAPiYAO","a0BRB0000124juX2AQ",
"a0FRB00000Wj59T2AR","MFIW-000287","54153849","反映済み","a00RB00002Am2AWYAZ","54153849","freee_invoice:3687550:54153849","001RB00001VTqbbYAD","a04RB00000kUAOFYA4","a0BRB00000ynb6A2AQ",
